merchant_id,country,mcc_desc,merchant_cohort,cross_border_enabled,staff_readiness,footfall_index,txns_per_week,failure_rate,acquirer_partner_id
MER_1755cda4db,IN-QA,Hotels,M-3,False,0.671,0.113,0,0.265,ACQ02
MER_f0f2d178af,IN,Grocery/Retail,M-2,True,0.62,0.57,18,0.392,ACQ01
MER_9cd8eb9cdd,IN-LK,Hotels,M-2,True,0.673,0.241,21,0.391,ACQ06
MER_2522555d9f,IN-QA,Grocery/Retail,M-4,True,0.839,0.893,23,0.036,ACQ02
MER_56e84fdf09,IN-LK,Grocery/Retail,M-3,False,0.678,0.38,0,0.417,ACQ01
MER_a667b328ff,IN,Dept Store,M-3,False,0.644,0.331,0,0.389,ACQ01
MER_00cf6a0c10,IN-BT,Transit,M-1,True,0.99,0.338,1,0.033,ACQ03
MER_3069ce0748,IN-LK,Gift/Souvenir,M-1,True,0.88,0.396,23,0.165,ACQ04
MER_7120dff3a3,IN,Hotels,M-1,True,0.99,0.796,5,0.064,ACQ06
MER_66a4a5f2bd,IN-QA,Hotels,M-2,True,0.831,0.813,22,0.218,ACQ06
MER_a42025435f,IN-AE,Gift/Souvenir,M-3,False,0.689,0.383,0,0.339,ACQ01
MER_5fc83f2651,IN-MU,Hotels,M-3,False,0.478,0.76,0,0.426,ACQ03
MER_0038ad52d4,IN-NP,Hotels,M-2,True,0.452,0.565,19,0.572,ACQ02
MER_e5898b5aef,IN,Hotels,M-1,True,0.848,0.6,9,0.137,ACQ03
MER_7429912f48,IN-LK,Transport/Taxi,M-1,True,0.521,0.522,0,0.493,ACQ03
MER_6dd7130143,IN-FR,Hotels,M-3,False,0.737,0.641,0,0.279,ACQ04
MER_81c09d9010,IN-SG,Gift/Souvenir,M-2,True,0.391,0.937,23,0.572,ACQ03
MER_d10ee5ac17,IN-NP,Gift/Souvenir,M-4,True,0.926,0.699,11,0.089,ACQ02
MER_7f864138b3,IN-BT,Grocery/Retail,M-1,True,0.637,0.887,0,0.364,ACQ05
MER_22ec5f5194,IN,Dept Store,M-2,True,0.713,0.801,9,0.262,ACQ03
MER_1389fce540,IN-LK,Hotels,M-2,True,0.683,0.918,21,0.385,ACQ03
MER_afe143c495,IN-BT,Hotels,M-2,True,0.702,0.253,2,0.33,ACQ05
MER_bee2c9e41c,IN-LK,Hotels,M-1,True,0.839,0.32,14,0.14,ACQ02
MER_099bc95ef2,IN-MU,Hotels,M-3,False,0.618,0.267,0,0.353,ACQ05
MER_09dfcaaa08,IN-MU,Hotels,M-3,False,0.821,0.848,0,0.269,ACQ01
MER_2a426f581a,IN-NP,Museum/Attraction,M-4,True,0.99,0.612,8,0.02,ACQ01
MER_a5b5957302,IN-LK,Grocery/Retail,M-4,True,0.883,0.407,14,0.024,ACQ02
MER_47a2c35884,IN-QA,Hotels,M-3,False,0.695,0.732,0,0.328,ACQ05
MER_ed2e9d8508,IN-LK,Hotels,M-2,True,0.662,0.944,33,0.385,ACQ01
MER_27c15b04bc,IN-MU,Hotels,M-1,True,0.711,0.428,0,0.238,ACQ06
MER_168de6ac70,IN-AE,Hotels,M-2,True,0.511,0.709,6,0.525,ACQ01
MER_7547c98546,IN-LK,Hotels,M-2,True,0.704,0.967,12,0.256,ACQ06
MER_ef9f1324c8,IN-NP,Museum/Attraction,M-1,True,0.393,0.142,0,0.59,ACQ03
MER_ade6f84e11,IN-LK,Grocery/Retail,M-1,True,0.929,0.795,34,0.148,ACQ05
MER_410cae5b84,IN-QA,Museum/Attraction,M-2,True,0.755,0.641,20,0.329,ACQ02
MER_6997507ca8,IN-SG,Hotels,M-1,True,0.745,0.316,9,0.171,ACQ01
MER_341013b01c,IN-AE,Hotels,M-4,True,0.99,0.358,19,0.02,ACQ05
MER_26de0a678e,IN-LK,Museum/Attraction,M-2,True,0.746,0.869,11,0.268,ACQ05
MER_5aa2f9cac7,IN-QA,Transport/Taxi,M-1,True,0.795,0.338,16,0.178,ACQ02
MER_3439d263aa,IN-LK,Gift/Souvenir,M-2,True,0.631,0.677,2,0.321,ACQ02
MER_4983033e23,IN-FR,Transport/Taxi,M-1,True,0.887,0.529,0,0.05,ACQ02
MER_74aa3100e3,IN-NP,Hotels,M-1,True,0.791,0.249,8,0.18,ACQ01
MER_9a4fd714c4,IN-MU,Gift/Souvenir,M-2,True,0.428,0.138,19,0.578,ACQ05
MER_c7b12f9d90,IN-LK,Hotels,M-4,True,0.911,0.247,13,0.11,ACQ06
MER_a9b383be3e,IN,Hotels,M-2,True,0.699,0.838,30,0.235,ACQ03
MER_e651d4a8b8,IN-KH,Hotels,M-1,True,0.857,0.709,10,0.185,ACQ02
MER_c76fb1b799,IN-BT,Hotels,M-2,True,0.576,0.894,19,0.472,ACQ02
MER_35f7992e10,IN-SG,Hotels,M-2,True,0.583,0.98,24,0.39,ACQ02
MER_69d6705341,IN-NP,Hotels,M-3,False,0.854,0.175,0,0.086,ACQ06
MER_502b29f517,IN-QA,Hotels,M-1,True,0.826,0.484,27,0.133,ACQ03
MER_b9f34456db,IN-LK,Grocery/Retail,M-3,False,0.508,0.905,0,0.475,ACQ01
MER_cfdbcd1e0d,IN-KH,Hotels,M-2,True,0.666,0.785,2,0.266,ACQ03
MER_b979b9d199,IN-AE,Hotels,M-2,True,0.704,0.193,2,0.244,ACQ03
MER_106f283828,IN-AE,Hotels,M-3,False,0.816,0.646,0,0.183,ACQ01
MER_21d08a0a67,IN,Hotels,M-3,False,0.671,0.582,0,0.355,ACQ06
MER_b731f1ad35,IN-KH,Hotels,M-1,True,0.905,0.301,36,0.164,ACQ06
MER_ac2a525c8a,IN-LK,Hotels,M-3,False,0.336,0.879,0,0.6,ACQ02
MER_ce0fd7b0aa,IN-BT,Misc Retail,M-1,True,0.833,0.288,2,0.185,ACQ05
MER_c3f9e80b30,IN-LK,Hotels,M-1,True,0.907,0.451,26,0.18,ACQ04
MER_d986a2b99b,IN,Hotels,M-3,False,0.665,0.413,0,0.375,ACQ02
MER_46221db9d0,IN-SG,Hotels,M-2,True,0.577,0.924,11,0.409,ACQ04
MER_3ebb70074d,IN,Hotels,M-4,True,0.921,0.643,23,0.067,ACQ01
MER_535f909057,IN-KH,Grocery/Retail,M-3,False,0.924,0.121,0,0.082,ACQ02
MER_3e56cd125c,IN-NP,Hotels,M-3,False,0.8,0.809,0,0.269,ACQ01
MER_ae22124b53,IN,Hotels,M-1,True,0.89,0.571,0,0.147,ACQ02
MER_185fda19a7,IN-BT,Grocery/Retail,M-4,True,0.988,0.638,9,0.072,ACQ01
MER_d25de52bbe,IN-BT,Misc Retail,M-2,True,0.718,0.408,13,0.277,ACQ03
MER_56b94e0852,IN-SG,Grocery/Retail,M-3,False,0.789,0.995,0,0.214,ACQ03
MER_24f25b8954,IN-NP,Hotels,M-3,False,0.73,0.869,0,0.213,ACQ06
MER_cd67fcefd4,IN-NP,Hotels,M-3,False,0.851,0.934,0,0.146,ACQ01
MER_f777f63268,IN-BT,Misc Retail,M-2,True,0.541,0.182,3,0.322,ACQ03
MER_1bd0f63e62,IN-SG,Hotels,M-2,True,0.622,0.437,37,0.406,ACQ04
MER_7a5d36e9c9,IN-NP,Hotels,M-2,True,0.627,0.532,11,0.452,ACQ01
MER_c184f3d9d4,IN-QA,Gift/Souvenir,M-2,True,0.442,0.158,6,0.511,ACQ03
MER_6946faf0f7,IN-QA,Hotels,M-2,True,0.753,0.425,2,0.325,ACQ01
MER_b11311c854,IN-SG,Hotels,M-3,False,0.99,0.934,0,0.024,ACQ05
MER_86e6574aa8,IN-SG,Misc Retail,M-2,True,0.565,0.272,42,0.512,ACQ02
MER_d53b01050a,IN,Transit,M-3,False,0.594,0.522,0,0.372,ACQ01
MER_2ccc95d281,IN-MU,Hotels,M-2,True,0.764,0.666,24,0.336,ACQ03
MER_51ed977d80,IN-BT,Hotels,M-2,True,0.684,0.547,17,0.354,ACQ01
MER_1d36c43366,IN-AE,Hotels,M-1,True,0.946,0.245,6,0.024,ACQ05
MER_549c0e3aeb,IN-MU,Grocery/Retail,M-2,True,0.611,0.809,25,0.344,ACQ06
MER_20a5a2a4c9,IN-SG,Hotels,M-1,True,0.93,0.672,0,0.073,ACQ03
MER_0e7248a0e7,IN-LK,Transport/Taxi,M-1,True,0.899,0.832,20,0.14,ACQ02
MER_861e4f6c59,IN-QA,Hotels,M-3,False,0.672,0.713,0,0.35,ACQ06
MER_6761b0f189,IN-FR,Hotels,M-3,False,0.843,0.877,0,0.227,ACQ06
MER_a8fc64f9f3,IN-NP,Hotels,M-3,False,0.802,0.923,0,0.265,ACQ01
MER_aa2b3b9d2a,IN-BT,Hotels,M-2,True,0.769,0.648,33,0.203,ACQ05
MER_a151d37ff5,IN-KH,Transport/Taxi,M-3,False,0.99,0.91,0,0.02,ACQ02
MER_880e0d6976,IN,Transport/Taxi,M-1,True,0.803,0.181,9,0.19,ACQ03
MER_7f5f6e71de,IN-AE,Hotels,M-2,True,0.421,0.284,10,0.6,ACQ01
MER_c084dd4ef9,IN-FR,Misc Retail,M-3,False,0.808,0.827,0,0.079,ACQ02
MER_33a59db197,IN-MU,Hotels,M-3,False,0.675,0.493,0,0.376,ACQ03
MER_1a61984fc1,IN-AE,Hotels,M-1,True,0.783,0.554,12,0.137,ACQ04
MER_4f3c1acbb4,IN-SG,Hotels,M-3,False,0.833,0.191,0,0.18,ACQ04
MER_096ee41df8,IN-NP,Hotels,M-4,True,0.99,0.926,25,0.033,ACQ02
MER_4982a4b0fb,IN-LK,Hotels,M-2,True,0.693,0.286,18,0.336,ACQ01
MER_66b2a430e4,IN-NP,Hotels,M-3,False,0.755,0.42,0,0.197,ACQ04
MER_8d97ee1172,IN-MU,Hotels,M-4,True,0.964,0.338,60,0.06,ACQ06
MER_c297c38fbe,IN-SG,Gift/Souvenir,M-2,True,0.431,0.615,23,0.6,ACQ04
MER_ac5cea8006,IN-AE,Museum/Attraction,M-2,True,0.537,0.638,25,0.413,ACQ04
MER_01ecdbdfd7,IN-BT,Restaurants,M-1,True,0.751,0.416,0,0.271,ACQ06
MER_52937b0ddd,IN-BT,Hotels,M-1,True,0.875,0.717,0,0.052,ACQ04
MER_80b1736ddc,IN-KH,Dept Store,M-2,True,0.69,0.386,7,0.215,ACQ01
MER_385f885273,IN-MU,Hotels,M-2,True,0.702,0.367,25,0.299,ACQ05
MER_26f73c63ed,IN-MU,Hotels,M-1,True,0.855,0.83,3,0.105,ACQ06
MER_3b63fbc3c2,IN-BT,Hotels,M-1,True,0.936,0.513,17,0.133,ACQ02
MER_9278258bdf,IN-SG,Museum/Attraction,M-3,False,0.66,0.978,0,0.257,ACQ06
MER_f03c44bf73,IN-BT,Hotels,M-2,True,0.739,0.178,21,0.277,ACQ06
MER_8614c7d33e,IN-FR,Grocery/Retail,M-1,True,0.896,0.85,0,0.126,ACQ03
MER_d897ab0033,IN-MU,Transport/Taxi,M-3,False,0.868,0.877,0,0.109,ACQ06
MER_2b69bcf147,IN-AE,Transit,M-2,True,0.569,0.357,25,0.416,ACQ05
MER_a2273a01e9,IN-LK,Hotels,M-2,True,0.78,0.967,2,0.257,ACQ05
MER_8d3df5a0fd,IN-LK,Hotels,M-1,True,0.775,0.303,0,0.279,ACQ06
MER_326fd8f030,IN-FR,Grocery/Retail,M-2,True,0.682,0.533,30,0.244,ACQ02
MER_de397ff5c4,IN-FR,Hotels,M-4,True,0.99,0.55,22,0.02,ACQ03
MER_9c7148cfa2,IN-KH,Hotels,M-1,True,0.811,0.687,17,0.199,ACQ03
MER_815d9669d6,IN,Hotels,M-3,False,0.837,0.675,0,0.179,ACQ03
MER_4a3c5f26d4,IN-QA,Museum/Attraction,M-2,True,0.706,0.547,23,0.305,ACQ02
MER_e06d4a4cc3,IN-KH,Dept Store,M-3,False,0.646,0.334,0,0.368,ACQ01
MER_19e2ebcbab,IN-SG,Gift/Souvenir,M-2,True,0.563,0.814,16,0.445,ACQ04
MER_591f3dc67b,IN,Hotels,M-4,True,0.99,0.208,7,0.109,ACQ05
MER_bf1cc5913d,IN-MU,Hotels,M-3,False,0.692,0.552,0,0.29,ACQ05
MER_3d35fd4652,IN-FR,Hotels,M-2,True,0.777,0.314,36,0.263,ACQ02
MER_0a534eaba1,IN-AE,Gift/Souvenir,M-1,True,0.887,0.495,23,0.196,ACQ06
MER_db7d18e6e1,IN-FR,Restaurants,M-1,True,0.91,0.195,26,0.145,ACQ05
MER_78bbd5335a,IN-SG,Gift/Souvenir,M-1,True,0.781,0.325,5,0.167,ACQ04
MER_4d5677fd41,IN-QA,Gift/Souvenir,M-3,False,0.511,0.691,0,0.421,ACQ06
MER_2807cba7c7,IN,Hotels,M-2,True,0.661,0.14,8,0.396,ACQ01
MER_5c859b19ba,IN-FR,Transport/Taxi,M-1,True,0.882,0.619,6,0.166,ACQ05
MER_14cac00527,IN-LK,Hotels,M-1,True,0.754,0.172,0,0.23,ACQ01
MER_6766dafda9,IN-BT,Hotels,M-2,True,0.63,0.969,22,0.309,ACQ06
MER_011fa912fc,IN-AE,Museum/Attraction,M-1,True,0.865,0.337,16,0.135,ACQ06
MER_ed36e2ecd7,IN-BT,Transit,M-3,False,0.685,0.95,0,0.347,ACQ01
MER_1a2bc51d71,IN-KH,Hotels,M-1,True,0.76,0.903,7,0.179,ACQ05
MER_b9017f4018,IN-QA,Gift/Souvenir,M-2,True,0.598,0.635,39,0.441,ACQ03
MER_59ae245543,IN-SG,Grocery/Retail,M-3,False,0.816,0.393,0,0.184,ACQ06
MER_64123e70e8,IN,Museum/Attraction,M-3,False,0.611,0.262,0,0.358,ACQ02
MER_7a5de74fe8,IN-QA,Museum/Attraction,M-2,True,0.854,0.886,23,0.2,ACQ03
MER_1c90159e0a,IN-FR,Hotels,M-2,True,0.771,0.214,7,0.263,ACQ01
MER_cacc04bd4d,IN-AE,Dept Store,M-5,True,0.789,0.368,1,0.198,ACQ05
MER_5fea4982af,IN-MU,Gift/Souvenir,M-3,False,0.751,0.232,0,0.376,ACQ03
MER_cc659312e3,IN-KH,Transit,M-3,False,0.704,0.178,0,0.267,ACQ02
MER_cc7c17ac85,IN-KH,Hotels,M-3,False,0.725,0.423,0,0.366,ACQ04
MER_2f6aaddfa9,IN-FR,Grocery/Retail,M-2,True,0.596,0.958,13,0.452,ACQ05
MER_18918e825b,IN-KH,Gift/Souvenir,M-4,True,0.97,0.122,13,0.02,ACQ01
MER_15b293871d,IN-QA,Hotels,M-1,True,0.781,0.724,7,0.197,ACQ02
MER_8ba0d01c99,IN,Hotels,M-1,True,0.856,0.629,0,0.205,ACQ04
MER_cd92c9fac9,IN-FR,Grocery/Retail,M-2,True,0.612,0.882,7,0.305,ACQ05
MER_d7b0d882db,IN-QA,Hotels,M-2,True,0.689,0.265,2,0.247,ACQ01
MER_deadab4006,IN-SG,Hotels,M-2,True,0.562,0.945,4,0.458,ACQ03
MER_caa27d17af,IN-BT,Misc Retail,M-2,True,0.793,0.865,24,0.206,ACQ01
MER_0ec0f04daa,IN-BT,Restaurants,M-2,True,0.644,0.393,16,0.374,ACQ06
MER_f5bc6000c7,IN-NP,Museum/Attraction,M-3,False,0.548,0.679,0,0.483,ACQ04
MER_fcd65e412e,IN-NP,Grocery/Retail,M-4,True,0.946,0.281,47,0.054,ACQ02
MER_842001c916,IN-MU,Hotels,M-1,True,0.818,0.534,0,0.152,ACQ06
MER_aca00e4b7b,IN-BT,Gift/Souvenir,M-1,True,0.782,0.479,5,0.111,ACQ04
MER_a1a4d8009b,IN-LK,Hotels,M-2,True,0.64,0.195,10,0.391,ACQ02
MER_729bffa3bc,IN,Hotels,M-2,True,0.752,0.53,5,0.281,ACQ05
MER_0847d0973b,IN-BT,Hotels,M-2,True,0.646,0.996,11,0.403,ACQ05
MER_f3a382db8e,IN-FR,Misc Retail,M-3,False,0.789,0.242,0,0.126,ACQ04
MER_c46c96a05e,IN-MU,Hotels,M-2,True,0.679,0.847,7,0.377,ACQ02
MER_36904ea4ff,IN-NP,Hotels,M-2,True,0.838,0.327,7,0.292,ACQ01
MER_2ff739c81e,IN-FR,Hotels,M-1,True,0.842,0.1,17,0.186,ACQ01
MER_8c7df9858e,IN-SG,Hotels,M-1,True,0.81,0.723,24,0.144,ACQ04
MER_9d4f5d463c,IN-SG,Restaurants,M-3,False,0.343,0.17,0,0.6,ACQ06
MER_7f8c7c16fe,IN-BT,Hotels,M-3,False,0.771,0.854,0,0.145,ACQ03
MER_587395b878,IN-LK,Hotels,M-2,True,0.631,0.981,13,0.384,ACQ01
MER_6cc6c6329e,IN-FR,Restaurants,M-1,True,0.673,0.471,0,0.298,ACQ03
MER_1c01b350cc,IN-KH,Hotels,M-1,True,0.679,0.504,0,0.333,ACQ03
MER_2ed6637bc2,IN-KH,Gift/Souvenir,M-2,True,0.691,0.742,29,0.21,ACQ03
MER_062cf75c4b,IN-KH,Hotels,M-2,True,0.825,0.716,21,0.237,ACQ06
MER_d115106c0e,IN-AE,Hotels,M-3,False,0.79,0.429,0,0.189,ACQ04
MER_9a04a6ca63,IN-AE,Hotels,M-3,False,0.889,0.644,0,0.077,ACQ03
MER_7eb4cfb5b1,IN-QA,Museum/Attraction,M-4,True,0.858,0.713,9,0.095,ACQ01
MER_5278e6d356,IN-BT,Transit,M-1,True,0.844,0.384,19,0.176,ACQ01
MER_748adc8a91,IN-BT,Misc Retail,M-3,False,0.668,0.515,0,0.262,ACQ01
MER_484b46a1d7,IN-FR,Hotels,M-1,True,0.64,0.699,0,0.32,ACQ04
MER_d96cb18d16,IN-SG,Hotels,M-4,True,0.861,0.147,20,0.107,ACQ06
MER_207c14f8e5,IN-SG,Transit,M-2,True,0.721,0.18,19,0.227,ACQ05
MER_3cd1bb4fe9,IN-LK,Transit,M-3,False,0.763,0.238,0,0.197,ACQ06
MER_bd52909bec,IN-KH,Transit,M-2,True,0.61,0.927,29,0.488,ACQ06
MER_70f5f07f27,IN-FR,Hotels,M-2,True,0.768,0.464,20,0.26,ACQ03
MER_733c5418bf,IN-QA,Hotels,M-4,True,0.99,0.739,40,0.02,ACQ06
MER_bfbba0f69d,IN-FR,Hotels,M-2,True,0.784,0.35,29,0.25,ACQ01
MER_93d31753cd,IN-BT,Hotels,M-2,True,0.699,0.829,3,0.326,ACQ06
MER_b8325f8a53,IN-BT,Hotels,M-1,True,0.922,0.908,4,0.094,ACQ05
MER_4ca418fa09,IN,Grocery/Retail,M-2,True,0.704,0.513,27,0.27,ACQ01
MER_017b505bd7,IN-QA,Transport/Taxi,M-1,True,0.95,0.872,0,0.02,ACQ02
MER_f0f4a78692,IN-NP,Hotels,M-3,False,0.99,0.752,0,0.02,ACQ03
MER_087db111f4,IN-QA,Hotels,M-2,True,0.747,0.126,25,0.305,ACQ02
MER_c178cc78c0,IN-MU,Hotels,M-1,True,0.757,0.842,16,0.171,ACQ04
MER_a171810a1b,IN-BT,Grocery/Retail,M-3,False,0.684,0.684,0,0.422,ACQ06
MER_c70be713c8,IN-LK,Hotels,M-1,True,0.603,0.629,0,0.402,ACQ06
MER_94bd681cc6,IN-LK,Hotels,M-4,True,0.99,0.423,23,0.02,ACQ02
MER_e9bfc2d7bb,IN,Hotels,M-3,False,0.716,0.21,0,0.335,ACQ05
MER_7c13652dc4,IN-LK,Grocery/Retail,M-2,True,0.68,0.343,20,0.281,ACQ04
MER_a5baab19a0,IN-FR,Transit,M-1,True,0.559,0.588,0,0.397,ACQ06
MER_dc5179ff32,IN-LK,Gift/Souvenir,M-1,True,0.431,0.114,0,0.592,ACQ03
MER_db90bbfa05,IN-KH,Hotels,M-1,True,0.822,0.461,4,0.115,ACQ01
MER_e6b0626b80,IN,Hotels,M-1,True,0.887,0.583,9,0.158,ACQ03
MER_55168ae84b,IN,Transport/Taxi,M-2,True,0.786,0.451,12,0.266,ACQ03
MER_d3d0018e1c,IN-SG,Restaurants,M-2,True,0.81,0.508,12,0.283,ACQ03
MER_fd35ddc662,IN-LK,Hotels,M-2,True,0.766,0.502,11,0.287,ACQ02
MER_2a9d63a633,IN,Hotels,M-2,True,0.821,0.825,26,0.25,ACQ05
MER_a5be0eccb8,IN-LK,Grocery/Retail,M-2,True,0.814,0.193,15,0.243,ACQ02
MER_905662576b,IN-FR,Hotels,M-2,True,0.678,0.8,2,0.213,ACQ06
MER_87cd78a00c,IN-MU,Grocery/Retail,M-1,True,0.828,0.296,0,0.184,ACQ06
MER_2d71abf163,IN-NP,Hotels,M-2,True,0.591,0.62,30,0.351,ACQ02
MER_4bd4f4d9ed,IN-LK,Hotels,M-2,True,0.7,0.589,23,0.313,ACQ03
MER_3ea6a84386,IN-SG,Hotels,M-1,True,0.696,0.335,0,0.3,ACQ03
MER_72b771232a,IN-LK,Dept Store,M-2,True,0.755,0.584,12,0.282,ACQ02
MER_cce9b2ef98,IN-NP,Hotels,M-2,True,0.627,0.632,12,0.314,ACQ03
MER_ee7bf02db5,IN-BT,Hotels,M-3,False,0.791,0.68,0,0.139,ACQ03
MER_fc1a0e8cf1,IN,Hotels,M-2,True,0.669,0.171,10,0.282,ACQ04
MER_e8ddad6850,IN-QA,Hotels,M-2,True,0.713,0.271,9,0.253,ACQ01
MER_ed26c52ce8,IN-KH,Hotels,M-4,True,0.958,0.708,14,0.02,ACQ02
MER_12c8189b2e,IN-NP,Hotels,M-2,True,0.775,0.98,15,0.222,ACQ06
MER_e388936fce,IN-AE,Hotels,M-2,True,0.686,0.924,7,0.265,ACQ01
MER_7cabcd8e3b,IN-FR,Grocery/Retail,M-2,True,0.635,0.364,14,0.38,ACQ05
MER_9f19e78e11,IN-KH,Grocery/Retail,M-2,True,0.598,0.963,29,0.447,ACQ04
MER_abee3fd720,IN-MU,Hotels,M-3,False,0.774,0.568,0,0.277,ACQ06
MER_8cf425a642,IN-AE,Misc Retail,M-1,True,0.759,0.889,26,0.17,ACQ02
MER_0ff6bcda39,IN-FR,Hotels,M-1,True,0.704,0.193,0,0.36,ACQ05
MER_4b481e875b,IN-LK,Dept Store,M-3,False,0.732,0.393,0,0.26,ACQ06
MER_1ad86b54b8,IN-FR,Hotels,M-3,False,0.427,0.849,0,0.6,ACQ02
MER_f3df9d0f4f,IN-LK,Hotels,M-2,True,0.442,0.596,50,0.582,ACQ03
MER_9888660cc5,IN-QA,Hotels,M-2,True,0.5,0.556,13,0.533,ACQ02
MER_779f549e3e,IN-KH,Grocery/Retail,M-1,True,0.56,0.678,0,0.472,ACQ01
MER_c2fe7e92f7,IN,Hotels,M-2,True,0.454,0.33,22,0.557,ACQ03
MER_7039b8978a,IN-KH,Misc Retail,M-2,True,0.718,0.69,19,0.269,ACQ05
MER_cfc4ca66c1,IN-LK,Hotels,M-1,True,0.819,0.124,21,0.142,ACQ06
MER_b1c5d162fb,IN-QA,Hotels,M-1,True,0.718,0.81,26,0.19,ACQ06
MER_bef249d1d0,IN-FR,Transit,M-2,True,0.726,0.99,21,0.246,ACQ02
MER_fec81987ca,IN-QA,Hotels,M-3,False,0.776,0.568,0,0.326,ACQ05
MER_4ef028ca76,IN-SG,Misc Retail,M-2,True,0.63,0.139,29,0.278,ACQ02
MER_8f14daa4c1,IN-NP,Hotels,M-4,True,0.99,0.821,18,0.052,ACQ03
MER_341736bc87,IN-MU,Hotels,M-1,True,0.759,0.883,0,0.301,ACQ05
MER_30cf47960e,IN-KH,Hotels,M-2,True,0.784,0.697,35,0.259,ACQ02
