attempt_id,trip_id,user_id,direction,rail_id,cohort_id,source_country,entity_type,stay_days,lifecycle_stage,mcc_code,mcc_desc,psp_id,issuer_id,terminal_type,wallet_state,value_tier,ticket_inr,currency,date,cohort_week,attempt_number,is_repeat,treatment_arm,nba_action_id,nba_channel,nba_cost_inr,tau_true,baseline_propensity_true,h1_kyc_status,h1_kyc_duration_sec,h2_wallet_status,h2_wallet_duration_sec,h3_balance_status,h3_balance_duration_sec,h4_limit_status,h4_limit_duration_sec,h5_merchant_status,h5_merchant_duration_sec,h6_tech_status,h6_tech_duration_sec,h7_departure_refund_status,h7_departure_refund_duration_sec,wallet_balance_at_departure_inr,final_outcome,drop_stage,drop_reason_category,drop_reason_detail,total_time_minutes,gmv_inr,nipl_revenue_inr,net_contribution_inr
IATT_d17644f5fc,ITRP_513674a197,INUSR_174c12ba4f,IN,R3,I-1,OTHER,FOREIGN_NATIONAL,6,DEPARTURE,5812,Restaurants,BHIM,PPIISSR05,DYNAMIC_QR,FUNDED,LOW,874.99,INR,2025-07-23,2025-W30,1,False,TREAT,ACT_DEPARTURE_REFUND,push_kiosk,0.02,0.3155,0.543,success,53.1,success,12.53,success,1.27,success,1.95,success,14.5,success,2.48,drop_refund_not_initiated,2.37,2457.25,converted,,,,2.67,874.99,0.175,0.155
IATT_0a84233d20,ITRP_e8d311ac67,INUSR_2e56571104,IN,R3,I-1,GB,FOREIGN_NATIONAL,3,ARRIVAL_D0,5812,Restaurants,GPAY,PPIISSR01,POS,UNLOADED,LOW,884.63,INR,2025-04-17,2025-W16,1,False,TREAT,ACT_DEPARTURE_REFUND,push_kiosk,0.02,0.2176,0.3024,success,74.34,success,8.94,success,3.28,success,0.91,success,8.97,success,2.52,not_reached,1.69,0,converted,,,,2.39,884.63,0.1769,0.1569
IATT_a16ad69fc8,ITRP_e8d311ac67,INUSR_7a85585b4d,IN,R3,I-1,GB,OCI,28,ARRIVAL_D0,5411,Grocery/Retail,BHIM,PPIISSR02,DYNAMIC_QR,FUNDED,MID,2502.48,INR,2025-05-19,2025-W21,1,False,TREAT,ACT_DEPARTURE_REFUND,push_kiosk,0.02,0.3191,0.5676,success,84.73,success,2.0,success,1.13,success,2.06,success,10.83,success,2.61,not_reached,4.63,0,converted,,,,2.44,2502.48,0.5005,0.4805
IATT_232b2ede9d,ITRP_e8d311ac67,INUSR_901d50150b,IN,R3,I-1,AE,FOREIGN_NATIONAL,10,IN_TRIP,5812,Restaurants,BHIM,PPIISSR05,STATIC_QR,FUNDED,LOW,1436.18,INR,2026-03-22,2026-W12,1,False,CONTROL,ACT_TOPUP_PROMPT,app_push,0.02,-0.15,0.8139,drop_kyc_not_completed,50.61,not_reached,12.95,not_reached,4.32,not_reached,1.03,not_reached,3.38,not_reached,4.97,not_reached,2.82,0,dropped,H1_KYC_ONBOARD,user_abandon,KYC_NOT_COMPLETED,2.88,0.0,0.0,-0.02
IATT_3fa9f6cf3d,ITRP_e8d311ac67,INUSR_69a5d06b61,IN,R3,I-1,US,OCI,3,IN_TRIP,5812,Restaurants,BHIM,PPIISSR05,DYNAMIC_QR,UNLOADED,MID,2648.82,INR,2026-01-03,2026-W01,1,False,TREAT,ACT_DEPARTURE_REFUND,push_kiosk,0.02,0.161,0.6023,success,45.22,drop_wallet_not_loaded,15.02,not_reached,2.05,not_reached,1.42,not_reached,13.44,not_reached,1.55,not_reached,1.64,0,dropped,H2_WALLET_LOAD,user_abandon,WALLET_NOT_LOADED,2.57,0.0,0.0,-0.02
IATT_ee0393b85a,ITRP_7f97149149,INUSR_de186c7d5e,IN,R3,I-1,OTHER,FOREIGN_NATIONAL,24,POST_TRIP,5411,Grocery/Retail,BHIM,PPIISSR04,DYNAMIC_QR,FUNDED,MID,3988.77,INR,2025-05-03,2025-W18,1,False,TREAT,ACT_TOPUP_PROMPT,app_push,0.02,0.2344,0.5067,success,16.02,success,14.48,success,4.73,drop_ppi_limit_exceeded,1.41,not_reached,6.44,not_reached,3.35,not_reached,1.09,0,dropped,H4_PPI_LIMIT,regulatory_decline,PPI_LIMIT_EXCEEDED,1.54,0.0,0.0,-0.02
IATT_750be29dd6,ITRP_7f97149149,INUSR_8bf042ff6e,IN,R5,I-4,OTHER,FOREIGN_NATIONAL,20,DEPARTURE,5411,Grocery/Retail,BHIM,PPIISSR04,STATIC_QR,FUNDED,LOW,1236.74,INR,2024-12-03,2024-W49,1,False,TREAT,ACT_ONE_WORLD_ONBOARD,in_flow,0.0,0.1158,0.7143,success,68.44,success,15.75,success,3.02,success,2.78,drop_merchant_abandon,9.58,not_reached,3.95,drop_refund_not_initiated,5.25,1858.47,dropped,H5_MERCHANT,user_abandon,MERCHANT_ABANDON,2.49,0.0,0.0,0.0
IATT_6da7777ca4,ITRP_7f97149149,INUSR_8063c6e867,IN,R5,I-4,US,OCI,13,ARRIVAL_D0,4121,Transport/Taxi,GPAY,PPIISSR03,DYNAMIC_QR,UNLOADED,MID,2905.01,INR,2024-09-05,2024-W36,1,False,TREAT,ACT_ONE_WORLD_ONBOARD,in_flow,0.0,0.2593,0.5336,success,66.41,success,12.68,success,1.17,success,2.48,success,2.09,success,3.03,not_reached,2.09,0,converted,,,,2.31,2905.01,0.581,0.581
IATT_3f4fd7a1bb,ITRP_7f97149149,INUSR_e44fef5cb2,IN,R3,I-1,GB,FOREIGN_NATIONAL,7,DEPARTURE,7011,Hotels,GPAY,PPIISSR03,DYNAMIC_QR,UNLOADED,MID,16259.83,INR,2025-12-26,2025-W52,1,False,TREAT,ACT_DEPARTURE_REFUND,push_kiosk,0.02,0.2769,0.7476,drop_kyc_not_completed,86.29,not_reached,8.29,not_reached,3.18,not_reached,2.34,not_reached,2.08,not_reached,1.93,drop_refund_not_initiated,7.99,3851.7,dropped,H1_KYC_ONBOARD,user_abandon,KYC_NOT_COMPLETED,3.75,0.0,0.0,-0.02
IATT_d22e17681f,ITRP_37d575cdc9,INUSR_67cacf38a3,IN,R3,I-1,DE,OCI,7,POST_TRIP,5947,Gift/Souvenir,BHIM,PPIISSR01,DYNAMIC_QR,FUNDED,MICRO,321.21,INR,2025-04-27,2025-W17,1,False,TREAT,ACT_DEPARTURE_REFUND,push_kiosk,0.02,0.4081,0.3601,success,90.0,success,15.59,success,2.34,success,2.76,drop_merchant_abandon,11.23,not_reached,2.86,not_reached,5.85,0,dropped,H5_MERCHANT,user_abandon,MERCHANT_ABANDON,3.86,0.0,0.0,-0.02
IATT_aba13eaff7,ITRP_37d575cdc9,INUSR_2f01e28800,IN,R4,I-3,US,NRI,7,IN_TRIP,4121,Transport/Taxi,BHIM,PPIISSR04,DYNAMIC_QR,FUNDED,MID,3568.77,INR,2025-10-04,2025-W40,1,False,TREAT,ACT_REACTIVATION_INR,in_app,0.0,0.2267,0.389,success,8.31,success,7.13,success,2.71,success,1.85,drop_merchant_abandon,12.24,not_reached,1.83,not_reached,5.89,0,dropped,H5_MERCHANT,user_abandon,MERCHANT_ABANDON,2.32,0.0,0.0,0.0
IATT_391ab68cf0,ITRP_37d575cdc9,INUSR_85007c949a,IN,R3,I-1,OTHER,FOREIGN_NATIONAL,10,IN_TRIP,4121,Transport/Taxi,BHIM,PPIISSR05,DYNAMIC_QR,UNLOADED,LOW,2420.79,INR,2025-09-10,2025-W37,1,False,TREAT,ACT_GUIDED_FIRST_LOAD,onboarding,0.0,0.2162,0.697,success,7.06,drop_wallet_not_loaded,8.33,not_reached,1.93,not_reached,2.8,not_reached,5.08,not_reached,3.81,not_reached,0.38,0,dropped,H2_WALLET_LOAD,user_abandon,WALLET_NOT_LOADED,2.21,0.0,0.0,0.0
IATT_d08778e4a0,ITRP_37d575cdc9,INUSR_a28054f1e8,IN,R3,I-1,OTHER,FOREIGN_NATIONAL,6,ARRIVAL_D0,7011,Hotels,PHONEPE,PPIISSR03,DYNAMIC_QR,UNLOADED,MID,13136.74,INR,2026-06-11,2026-W24,1,False,TREAT,ACT_DEPARTURE_REFUND,push_kiosk,0.02,0.1502,0.6082,success,56.92,success,9.22,success,2.67,success,0.74,success,13.51,success,1.14,not_reached,4.95,0,converted,,,,3.02,13136.74,2.6273,2.6073
IATT_74fd1c7e42,ITRP_aefd2e3f8e,INUSR_40ed9e7963,IN,R3,I-1,US,OCI,2,IN_TRIP,5947,Gift/Souvenir,PHONEPE,PPIISSR04,STATIC_QR,FUNDED,LOW,695.57,INR,2025-03-03,2025-W10,1,False,CONTROL,ACT_DEPARTURE_REFUND,push_kiosk,0.02,-0.1377,0.6754,success,32.74,success,17.55,success,1.58,success,0.32,success,6.07,success,3.9,not_reached,3.75,0,converted,,,,2.37,695.57,0.1391,0.1191
IATT_0bbc5aec51,ITRP_aefd2e3f8e,INUSR_4bbe1a4b4e,IN,R3,I-1,AU,FOREIGN_NATIONAL,28,IN_TRIP,5812,Restaurants,PHONEPE,PPIISSR04,DYNAMIC_QR,FUNDED,LOW,1162.86,INR,2026-03-15,2026-W11,1,False,TREAT,ACT_TOPUP_PROMPT,app_push,0.02,0.1494,0.5312,success,61.52,success,16.59,success,3.52,success,2.3,drop_merchant_abandon,8.12,not_reached,2.88,not_reached,7.62,0,dropped,H5_MERCHANT,user_abandon,MERCHANT_ABANDON,2.29,0.0,0.0,-0.02
IATT_c3644dc103,ITRP_aefd2e3f8e,INUSR_e7bfc7a63e,IN,R3,I-1,OTHER,FOREIGN_NATIONAL,8,IN_TRIP,4121,Transport/Taxi,BHIM,PPIISSR05,STATIC_QR,FUNDED,LOW,1406.19,INR,2024-12-06,2024-W49,1,False,TREAT,ACT_GUIDED_FIRST_LOAD,onboarding,0.0,-0.0556,0.5738,success,36.34,success,4.04,success,4.16,success,1.57,drop_merchant_abandon,2.27,not_reached,0.78,not_reached,6.53,0,dropped,H5_MERCHANT,user_abandon,MERCHANT_ABANDON,1.26,0.0,0.0,0.0
IATT_fa3b34668c,ITRP_aefd2e3f8e,INUSR_6023bc2e8a,IN,R3,I-1,GB,FOREIGN_NATIONAL,19,ARRIVAL_D0,5411,Grocery/Retail,PHONEPE,PPIISSR05,STATIC_QR,FUNDED,MID,2504.11,INR,2025-03-28,2025-W13,1,False,TREAT,ACT_TOPUP_PROMPT,app_push,0.02,0.0467,0.6364,success,42.55,success,4.76,success,1.19,success,1.25,drop_merchant_abandon,7.87,not_reached,4.64,not_reached,2.57,0,dropped,H5_MERCHANT,user_abandon,MERCHANT_ABANDON,2.19,0.0,0.0,-0.02
IATT_4c02ada25b,ITRP_7a098c66aa,INUSR_8e1bbbce5a,IN,R4,I-3,MY,NRI,6,IN_TRIP,4121,Transport/Taxi,GPAY,PPIISSR03,DYNAMIC_QR,FUNDED,LOW,1396.83,INR,2025-10-19,2025-W42,1,False,TREAT,ACT_REACTIVATION_INR,in_app,0.0,0.1354,0.5129,success,30.29,success,17.79,success,4.72,success,2.16,success,7.26,success,3.7,not_reached,0.95,0,converted,,,,1.8,1396.83,0.2794,0.2794
IATT_3cbaaaeac1,ITRP_7a098c66aa,INUSR_cffaf8ea26,IN,R3,I-1,OTHER,FOREIGN_NATIONAL,8,IN_TRIP,5947,Gift/Souvenir,GPAY,PPIISSR01,STATIC_QR,FUNDED,MICRO,382.35,INR,2024-11-30,2024-W48,1,False,TREAT,ACT_TOPUP_PROMPT,app_push,0.02,0.1605,0.6602,success,32.0,success,12.94,success,4.6,success,1.65,success,2.71,success,4.3,not_reached,3.62,0,converted,,,,1.79,382.35,0.0765,0.0565
IATT_070d790b2d,ITRP_7a098c66aa,INUSR_3da8adc2c8,IN,R3,I-1,GB,OCI,21,ARRIVAL_D0,5812,Restaurants,PHONEPE,PPIISSR03,DYNAMIC_QR,FUNDED,MID,4164.0,INR,2026-04-14,2026-W16,1,False,CONTROL,ACT_DEPARTURE_REFUND,push_kiosk,0.02,-0.1197,0.7486,success,79.95,success,16.82,success,2.57,success,2.93,success,6.06,success,1.27,not_reached,2.24,0,converted,,,,3.19,4164.0,0.8328,0.8128
IATT_55b1f4fa4d,ITRP_7a098c66aa,INUSR_187f689dda,IN,R3,I-1,GB,OCI,7,DEPARTURE,5812,Restaurants,GPAY,PPIISSR05,DYNAMIC_QR,FUNDED,MICRO,330.51,INR,2026-04-12,2026-W15,1,False,TREAT,ACT_DEPARTURE_REFUND,push_kiosk,0.02,0.2197,0.6787,success,7.74,success,12.35,success,1.44,success,2.38,success,3.51,success,0.9,drop_refund_not_initiated,4.94,422.62,converted,,,,2.49,330.51,0.0661,0.0461
IATT_65d3fba3ef,ITRP_a274b557d6,INUSR_8508704228,IN,R3,I-1,AU,OCI,8,IN_TRIP,5411,Grocery/Retail,PHONEPE,PPIISSR01,DYNAMIC_QR,FUNDED,LOW,1607.74,INR,2025-09-12,2025-W37,1,False,TREAT,ACT_TOPUP_PROMPT,app_push,0.02,0.2793,0.3138,success,82.09,success,8.11,success,2.46,success,1.66,success,3.74,success,1.24,not_reached,5.94,0,converted,,,,3.19,1607.74,0.3215,0.3015
IATT_2ba1a73b3d,ITRP_a274b557d6,INUSR_0d0c9ae528,IN,R4,I-3,CA,NRI,7,DEPARTURE,5947,Gift/Souvenir,PHONEPE,PPIISSR02,DYNAMIC_QR,FUNDED,MICRO,184.62,INR,2025-01-29,2025-W05,1,False,TREAT,ACT_REACTIVATION_INR,in_app,0.0,-0.0017,0.5402,success,6.99,success,5.45,success,4.25,success,0.72,success,13.87,success,1.38,drop_refund_not_initiated,4.94,4201.89,converted,,,,1.45,184.62,0.0369,0.0369
IATT_d4e98c0d10,ITRP_a274b557d6,INUSR_4430fc19fb,IN,R5,I-4,US,OCI,8,PRE_TRIP,5947,Gift/Souvenir,BHIM,PPIISSR03,POS,UNLOADED,LOW,903.37,INR,2024-09-08,2024-W36,1,False,CONTROL,ACT_ONE_WORLD_ONBOARD,in_flow,0.0,0.189,0.5365,success,48.04,drop_wallet_not_loaded,16.72,not_reached,2.81,not_reached,1.51,not_reached,10.85,not_reached,0.95,not_reached,7.25,0,dropped,H2_WALLET_LOAD,user_abandon,WALLET_NOT_LOADED,2.41,0.0,0.0,0.0
IATT_1beb9ac404,ITRP_a274b557d6,INUSR_7d2df6ecbb,IN,R3,I-1,US,FOREIGN_NATIONAL,15,IN_TRIP,5812,Restaurants,GPAY,PPIISSR03,POS,FUNDED,MICRO,370.92,INR,2025-11-02,2025-W44,1,False,TREAT,ACT_TOPUP_PROMPT,app_push,0.02,0.1379,0.4253,success,11.05,success,7.01,success,3.18,success,2.19,success,9.92,success,1.43,not_reached,2.51,0,converted,,,,2.4,370.92,0.0742,0.0542
IATT_d9a287b7fc,ITRP_beff1052eb,INUSR_7d97bfbee7,IN,R3,I-1,MY,FOREIGN_NATIONAL,9,IN_TRIP,5812,Restaurants,PHONEPE,PPIISSR04,STATIC_QR,FUNDED,LOW,893.09,INR,2026-04-01,2026-W14,1,False,TREAT,ACT_GUIDED_FIRST_LOAD,onboarding,0.0,0.2876,0.5903,success,8.34,success,2.05,success,0.62,success,1.93,success,9.76,drop_tech_decline,2.59,not_reached,0.76,0,dropped,H6_TECH_AUTH,technical_fail,TECH_DECLINE,1.71,0.0,0.0,0.0
IATT_673bf9a708,ITRP_beff1052eb,INUSR_94d8ec6f90,IN,R3,I-1,AU,FOREIGN_NATIONAL,5,IN_TRIP,5812,Restaurants,BHIM,PPIISSR01,DYNAMIC_QR,FUNDED,LOW,962.43,INR,2026-01-06,2026-W02,1,False,TREAT,ACT_GUIDED_FIRST_LOAD,onboarding,0.0,0.0303,0.6469,success,56.68,drop_wallet_not_loaded,19.09,not_reached,0.92,not_reached,1.72,not_reached,14.95,not_reached,2.31,not_reached,6.12,0,dropped,H2_WALLET_LOAD,user_abandon,WALLET_NOT_LOADED,2.35,0.0,0.0,0.0
IATT_22994c3a72,ITRP_beff1052eb,INUSR_7ed82e2e89,IN,R3,I-1,DE,OCI,16,ARRIVAL_D0,7011,Hotels,BHIM,PPIISSR01,DYNAMIC_QR,FUNDED,MID,8073.24,INR,2025-07-06,2025-W27,1,False,TREAT,ACT_GUIDED_FIRST_LOAD,onboarding,0.0,0.2337,0.5378,success,82.65,success,7.45,success,4.67,success,1.43,success,14.32,success,3.9,not_reached,6.55,0,converted,,,,3.19,8073.24,1.6146,1.6146
IATT_c8abe5453b,ITRP_beff1052eb,INUSR_a7711fdb22,IN,R3,I-1,DE,FOREIGN_NATIONAL,7,ARRIVAL_D0,5812,Restaurants,BHIM,PPIISSR04,STATIC_QR,FUNDED,MICRO,301.15,INR,2025-06-25,2025-W26,1,False,CONTROL,ACT_TOPUP_PROMPT,app_push,0.02,0.3433,0.4906,success,35.6,success,4.75,success,1.64,success,1.28,success,13.2,success,1.85,not_reached,3.37,0,converted,,,,2.98,301.15,0.0602,0.0402
IATT_2f12e57e05,ITRP_b3f07551b7,INUSR_480f7ee060,IN,R3,I-1,OTHER,FOREIGN_NATIONAL,9,IN_TRIP,5411,Grocery/Retail,PHONEPE,PPIISSR03,DYNAMIC_QR,FUNDED,LOW,1024.37,INR,2025-08-10,2025-W32,1,False,TREAT,ACT_DEPARTURE_REFUND,push_kiosk,0.02,0.0943,0.6558,success,50.29,success,9.73,success,2.19,success,0.69,drop_merchant_abandon,9.47,not_reached,3.24,not_reached,3.89,0,dropped,H5_MERCHANT,user_abandon,MERCHANT_ABANDON,2.73,0.0,0.0,-0.02
IATT_8c68a0757a,ITRP_b3f07551b7,INUSR_41a8e4835b,IN,R3,I-2,US,OCI,5,IN_TRIP,7011,Hotels,BHIM,PPIISSR02,DYNAMIC_QR,FUNDED,MID,14860.4,INR,2024-09-21,2024-W38,1,False,TREAT,ACT_LOAD_AHEAD,in_app,0.0,0.2076,0.5403,drop_kyc_not_completed,85.7,not_reached,8.6,not_reached,1.97,not_reached,2.45,not_reached,10.43,not_reached,2.13,not_reached,5.47,0,dropped,H1_KYC_ONBOARD,user_abandon,KYC_NOT_COMPLETED,2.92,0.0,0.0,0.0
IATT_aaf4990b5e,ITRP_b3f07551b7,INUSR_edd51e3c0b,IN,R5,I-4,OTHER,FOREIGN_NATIONAL,11,DEPARTURE,5812,Restaurants,GPAY,PPIISSR03,STATIC_QR,FUNDED,LOW,981.62,INR,2025-12-06,2025-W49,1,False,CONTROL,ACT_ONE_WORLD_ONBOARD,in_flow,0.0,0.0281,0.4107,success,75.34,success,15.97,success,1.54,success,0.48,success,4.6,success,3.94,success,1.8,732.87,converted,,,,2.59,981.62,0.1963,0.1963
IATT_469e7d02fa,ITRP_b3f07551b7,INUSR_d3ec359277,IN,R3,I-1,DE,FOREIGN_NATIONAL,3,IN_TRIP,5812,Restaurants,BHIM,PPIISSR01,DYNAMIC_QR,FUNDED,LOW,1945.94,INR,2025-08-15,2025-W33,1,False,TREAT,ACT_TOPUP_PROMPT,app_push,0.02,0.2004,0.3804,success,72.29,success,4.69,success,4.96,success,2.0,success,10.24,success,4.91,not_reached,5.07,0,converted,,,,1.97,1945.94,0.3892,0.3692
IATT_05d39b36db,ITRP_5da9590c93,INUSR_25a4eef3ae,IN,R3,I-1,BD,FOREIGN_NATIONAL,4,IN_TRIP,5812,Restaurants,BHIM,PPIISSR03,STATIC_QR,FUNDED,LOW,2277.88,INR,2026-02-24,2026-W09,1,False,TREAT,ACT_TOPUP_PROMPT,app_push,0.02,0.271,0.5353,drop_kyc_not_completed,11.5,not_reached,11.8,not_reached,4.45,not_reached,1.15,not_reached,7.6,not_reached,2.17,not_reached,6.08,0,dropped,H1_KYC_ONBOARD,user_abandon,KYC_NOT_COMPLETED,2.55,0.0,0.0,-0.02
IATT_afb7ed3710,ITRP_5da9590c93,INUSR_85015d9b2f,IN,R4,I-3,US,NRI,4,IN_TRIP,5411,Grocery/Retail,GPAY,PPIISSR02,DYNAMIC_QR,UNLOADED,LOW,1286.25,INR,2025-02-27,2025-W09,1,False,CONTROL,ACT_REACTIVATION_INR,in_app,0.0,0.45,0.2375,success,41.69,success,6.74,success,4.72,success,1.51,success,5.69,success,1.05,not_reached,2.01,0,converted,,,,2.79,1286.25,0.2573,0.2573
IATT_6c58e939d4,ITRP_5da9590c93,INUSR_428a2b37a0,IN,R3,I-1,OTHER,OCI,7,ARRIVAL_D0,5411,Grocery/Retail,BHIM,PPIISSR05,STATIC_QR,FUNDED,LOW,1502.1,INR,2025-12-24,2025-W52,1,False,TREAT,ACT_DEPARTURE_REFUND,push_kiosk,0.02,0.1612,0.462,drop_kyc_not_completed,60.5,not_reached,4.41,not_reached,3.3,not_reached,0.82,not_reached,14.93,not_reached,3.02,not_reached,3.84,0,dropped,H1_KYC_ONBOARD,user_abandon,KYC_NOT_COMPLETED,1.98,0.0,0.0,-0.02
IATT_02f317fc31,ITRP_5da9590c93,INUSR_7831c0c023,IN,R4,I-3,GB,NRI,4,DEPARTURE,5812,Restaurants,GPAY,PPIISSR05,DYNAMIC_QR,FUNDED,MID,3646.37,INR,2026-06-04,2026-W23,1,False,TREAT,ACT_REACTIVATION_INR,in_app,0.0,0.0639,0.4658,success,78.33,success,5.34,success,3.84,success,2.96,success,6.08,success,2.4,drop_refund_not_initiated,3.16,942.49,converted,,,,2.41,3646.37,0.7293,0.7293
