user_id,journey_type,corridor,partner_app,channel,device,date,amount_inr,onboarding_eligibility_status,onboarding_eligibility_duration_sec,beneficiary_merchant_discovery_status,beneficiary_merchant_discovery_duration_sec,quote_fx_acceptance_status,quote_fx_acceptance_duration_sec,authentication_status,authentication_duration_sec,payment_settlement_status,payment_settlement_duration_sec,final_outcome,drop_stage,drop_reason_category,drop_reason_detail,total_time_minutes,cohort_week,attempt_number,is_repeat,attempt_id
OUT-00058,outbound,India-Singapore,PhonePe,P2M-QR,iOS,2026-05-23,50000.0,success,11.7,success,27.1,success,16.7,success,29.0,success,5.2,converted,,,,89.7,2026-W21,1,False,OUT-00058-A1
OUT-00059,outbound,India-Mauritius,GPay,P2M-QR,iOS,2026-05-01,10000.0,success,16.6,success,27.8,success,9.1,success,39.4,success,42.7,converted,,,,135.6,2026-W18,1,False,OUT-00059-A1
OUT-00060,outbound,India-France,BHIM,P2M-QR,Android,2026-06-09,100000.0,success,7.0,success,15.9,success,26.0,success,21.2,success,20.8,converted,,,,90.9,2026-W24,1,False,OUT-00060-A1
OUT-00061,outbound,India-Nepal,PhonePe,P2M-QR,Android,2026-07-28,2500.0,success,17.1,drop_business_decline,15.7,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,business_decline,Corridor not live for this merchant category,32.8,2026-W31,1,False,OUT-00061-A1
OUT-00062,outbound,India-Singapore,PhonePe,P2P-Linkage,Android,2026-07-06,5000.0,success,22.9,drop_business_decline,35.7,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,business_decline,Corridor not live for this merchant category,58.6,2026-W28,1,False,OUT-00062-A1
OUT-00063,outbound,India-France,PhonePe,P2M-QR,Android,2026-05-24,2500.0,success,9.8,success,6.3,drop_technical_fail,3.1,not_reached,,not_reached,,dropped,quote_fx_acceptance,technical_fail,Quote latency / rate refresh timeout,19.2,2026-W21,1,False,OUT-00063-A1
OUT-00064,outbound,India-Mauritius,Paytm,P2M-QR,Android,2026-07-08,5000.0,success,16.9,success,1.7,drop_technical_fail,34.1,not_reached,,not_reached,,dropped,quote_fx_acceptance,technical_fail,Quote latency / rate refresh timeout,52.7,2026-W28,1,False,OUT-00064-A1
OUT-00065,outbound,India-Nepal,PhonePe,P2M-QR,Android,2026-06-18,50000.0,success,8.4,drop_user_abandon,8.6,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,user_abandon,"Incorrect PayNow ID / typo, gave up",17.0,2026-W25,1,False,OUT-00065-A1
OUT-00066,outbound,India-Sri Lanka,BHIM,P2M-QR,Android,2026-07-12,50000.0,drop_technical_fail,5.7,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding_eligibility,technical_fail,Bank not enabled for corridor,5.7,2026-W28,1,False,OUT-00066-A1
OUT-00067,outbound,India-UAE,Paytm,P2P-Linkage,iOS,2026-05-10,5000.0,success,14.9,success,27.7,success,11.4,success,9.5,success,38.8,converted,,,,102.3,2026-W19,1,False,OUT-00067-A1
OUT-00068,outbound,India-Nepal,Paytm,P2M-QR,Android,2026-07-09,100000.0,success,15.8,success,12.2,success,14.8,success,10.9,success,3.3,converted,,,,57.0,2026-W28,1,False,OUT-00068-A1
OUT-00069,outbound,India-Singapore,BHIM,P2M-QR,Android,2026-05-27,10000.0,drop_business_decline,30.4,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding_eligibility,business_decline,FEMA/residency eligibility check failed,30.4,2026-W22,1,False,OUT-00069-A1
OUT-00070,outbound,India-Sri Lanka,Paytm,P2P-Linkage,Android,2026-05-27,5000.0,success,19.5,success,5.5,success,30.0,success,3.5,success,15.9,converted,,,,74.4,2026-W22,1,False,OUT-00070-A1
OUT-00071,outbound,India-Nepal,PhonePe,P2M-QR,Android,2026-05-14,2500.0,success,7.0,success,16.1,success,13.7,success,8.1,success,13.2,converted,,,,58.1,2026-W20,1,False,OUT-00071-A1
OUT-00072,outbound,India-Sri Lanka,PhonePe,P2P-Linkage,Android,2026-06-18,5000.0,success,1.5,success,32.7,success,33.6,success,19.5,success,24.7,converted,,,,112.0,2026-W25,1,False,OUT-00072-A1
OUT-00073,outbound,India-Bhutan,GPay,P2P-Linkage,iOS,2026-07-18,2500.0,success,9.9,success,8.3,drop_user_abandon,52.4,not_reached,,not_reached,,dropped,quote_fx_acceptance,user_abandon,Rate/fee looked unclear or too high,70.6,2026-W29,1,False,OUT-00073-A1
OUT-00074,outbound,India-UAE,Bank-Native App,P2M-QR,Android,2026-06-24,5000.0,success,2.7,success,26.2,success,30.3,success,9.9,success,19.7,converted,,,,88.8,2026-W26,1,False,OUT-00074-A1
OUT-00075,outbound,India-Bhutan,Bank-Native App,P2M-QR,Android,2026-07-15,2500.0,success,45.6,success,53.0,success,11.1,success,5.8,success,6.9,converted,,,,122.4,2026-W29,1,False,OUT-00075-A1
OUT-00076,outbound,India-Mauritius,PhonePe,P2M-QR,Android,2026-05-24,50000.0,drop_technical_fail,0.4,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding_eligibility,technical_fail,Bank not enabled for corridor,0.4,2026-W21,1,False,OUT-00076-A1
OUT-00077,outbound,India-UAE,BHIM,P2M-QR,iOS,2026-06-25,25000.0,success,18.0,success,29.3,drop_business_decline,25.0,not_reached,,not_reached,,dropped,quote_fx_acceptance,business_decline,Amount exceeds corridor limit,72.3,2026-W26,1,False,OUT-00077-A1
OUT-00078,outbound,India-Singapore,Bank-Native App,P2M-QR,Android,2026-07-28,100000.0,success,17.0,success,30.2,success,39.2,success,6.4,success,10.7,converted,,,,103.5,2026-W31,1,False,OUT-00078-A1
OUT-00079,outbound,India-Bhutan,PhonePe,P2M-QR,Android,2026-07-27,5000.0,success,7.2,success,19.4,success,33.2,success,6.9,success,7.2,converted,,,,73.9,2026-W31,1,False,OUT-00079-A1
OUT-00080,outbound,India-Nepal,GPay,P2M-QR,Android,2026-06-23,50000.0,success,17.6,success,12.1,success,14.0,success,1.1,success,18.1,converted,,,,62.9,2026-W26,1,False,OUT-00080-A1
OUT-00081,outbound,India-Mauritius,Bank-Native App,P2M-QR,Android,2026-05-06,2500.0,success,1.2,drop_technical_fail,4.2,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,technical_fail,Merchant QR/scheme not bridged to NIPL,5.4,2026-W19,1,False,OUT-00081-A1
OUT-00082,outbound,India-Bhutan,GPay,P2M-QR,iOS,2026-06-22,2500.0,success,22.7,drop_user_abandon,8.2,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,user_abandon,"Incorrect PayNow ID / typo, gave up",30.9,2026-W26,1,False,OUT-00082-A1
OUT-00083,outbound,India-Mauritius,PhonePe,P2M-QR,Android,2026-07-19,25000.0,success,20.1,success,26.4,drop_business_decline,8.7,not_reached,,not_reached,,dropped,quote_fx_acceptance,business_decline,Amount exceeds corridor limit,55.2,2026-W29,1,False,OUT-00083-A1
OUT-00084,outbound,India-UAE,PhonePe,P2M-QR,Android,2026-06-22,10000.0,success,12.1,success,7.5,success,22.6,success,16.0,success,7.5,converted,,,,65.7,2026-W26,1,False,OUT-00084-A1
OUT-00085,outbound,India-Nepal,PhonePe,P2M-QR,iOS,2026-05-04,100000.0,success,7.1,drop_business_decline,16.3,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,business_decline,Corridor not live for this merchant category,23.4,2026-W19,1,False,OUT-00085-A1
OUT-00086,outbound,India-Bhutan,Bank-Native App,P2M-QR,iOS,2026-05-11,2500.0,success,8.8,success,14.7,drop_user_abandon,30.5,not_reached,,not_reached,,dropped,quote_fx_acceptance,user_abandon,Rate/fee looked unclear or too high,54.0,2026-W20,1,False,OUT-00086-A1
OUT-00087,outbound,India-France,GPay,P2M-QR,iOS,2026-07-26,25000.0,success,23.9,drop_technical_fail,19.6,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,technical_fail,Merchant QR/scheme not bridged to NIPL,43.5,2026-W30,1,False,OUT-00087-A1
OUT-00088,outbound,India-Nepal,PhonePe,P2P-Linkage,iOS,2026-06-18,25000.0,success,10.3,success,21.5,success,21.4,drop_technical_fail,26.4,not_reached,,dropped,authentication,technical_fail,OTP/PIN step-up failure,79.6,2026-W25,1,False,OUT-00088-A1
OUT-00089,outbound,India-Singapore,Bank-Native App,P2P-Linkage,Android,2026-05-19,10000.0,success,3.4,success,17.0,success,27.3,success,9.9,success,58.7,converted,,,,116.3,2026-W21,1,False,OUT-00089-A1
OUT-00090,outbound,India-Sri Lanka,Bank-Native App,P2M-QR,Android,2026-06-12,5000.0,drop_technical_fail,13.6,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding_eligibility,technical_fail,Bank not enabled for corridor,13.6,2026-W24,1,False,OUT-00090-A1
OUT-00091,outbound,India-UAE,BHIM,P2M-QR,Android,2026-05-17,10000.0,success,25.3,success,16.1,success,3.2,success,7.0,success,32.2,converted,,,,83.8,2026-W20,1,False,OUT-00091-A1
OUT-00092,outbound,India-Sri Lanka,Bank-Native App,P2M-QR,Android,2026-05-07,10000.0,success,54.7,drop_business_decline,12.1,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,business_decline,Corridor not live for this merchant category,66.8,2026-W19,1,False,OUT-00092-A1
OUT-00093,outbound,India-Bhutan,Paytm,P2P-Linkage,Android,2026-06-28,10000.0,success,14.3,success,38.9,success,23.3,success,3.0,success,2.4,converted,,,,81.9,2026-W26,1,False,OUT-00093-A1
OUT-00094,outbound,India-France,GPay,P2M-QR,iOS,2026-05-21,5000.0,success,3.2,success,27.8,drop_business_decline,21.3,not_reached,,not_reached,,dropped,quote_fx_acceptance,business_decline,Amount exceeds corridor limit,52.3,2026-W21,1,False,OUT-00094-A1
OUT-00095,outbound,India-Bhutan,GPay,P2M-QR,Android,2026-07-12,5000.0,success,13.1,success,15.0,drop_technical_fail,5.8,not_reached,,not_reached,,dropped,quote_fx_acceptance,technical_fail,Quote latency / rate refresh timeout,33.9,2026-W28,1,False,OUT-00095-A1
OUT-00096,outbound,India-Singapore,BHIM,P2P-Linkage,Android,2026-05-31,2500.0,success,19.2,success,69.6,success,24.8,success,1.8,success,36.0,converted,,,,151.4,2026-W22,1,False,OUT-00096-A1
OUT-00097,outbound,India-France,GPay,P2P-Linkage,Android,2026-07-18,50000.0,drop_business_decline,9.4,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding_eligibility,business_decline,FEMA/residency eligibility check failed,9.4,2026-W29,1,False,OUT-00097-A1
OUT-00098,outbound,India-UAE,Paytm,P2M-QR,Android,2026-05-02,5000.0,success,26.3,success,8.5,drop_technical_fail,7.3,not_reached,,not_reached,,dropped,quote_fx_acceptance,technical_fail,Quote latency / rate refresh timeout,42.1,2026-W18,1,False,OUT-00098-A1
OUT-00099,outbound,India-Mauritius,GPay,P2M-QR,Android,2026-05-29,10000.0,drop_user_abandon,2.1,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding_eligibility,user_abandon,Did not discover international toggle,2.1,2026-W22,1,False,OUT-00099-A1
OUT-00100,outbound,India-France,PhonePe,P2M-QR,Android,2026-05-16,50000.0,success,3.6,success,34.5,success,12.1,success,3.5,success,5.1,converted,,,,58.8,2026-W20,1,False,OUT-00100-A1
OUT-00101,outbound,India-UAE,BHIM,P2M-QR,Android,2026-07-09,25000.0,success,3.3,success,40.5,success,37.2,success,5.5,success,0.9,converted,,,,87.4,2026-W28,1,False,OUT-00101-A1
OUT-00102,outbound,India-Bhutan,GPay,P2M-QR,Android,2026-05-18,50000.0,success,7.1,success,25.4,success,6.3,success,23.3,success,37.0,converted,,,,99.1,2026-W21,1,False,OUT-00102-A1
OUT-00103,outbound,India-Singapore,Paytm,P2P-Linkage,iOS,2026-06-27,5000.0,success,14.2,success,25.5,success,17.3,success,11.6,success,42.1,converted,,,,110.7,2026-W26,1,False,OUT-00103-A1
OUT-00104,outbound,India-Singapore,Bank-Native App,P2M-QR,Android,2026-07-18,25000.0,success,16.5,success,39.2,success,4.0,success,6.8,success,15.6,converted,,,,82.1,2026-W29,1,False,OUT-00104-A1
OUT-00105,outbound,India-Nepal,BHIM,P2M-QR,iOS,2026-07-26,2500.0,success,9.7,success,26.6,drop_business_decline,18.4,not_reached,,not_reached,,dropped,quote_fx_acceptance,business_decline,Amount exceeds corridor limit,54.7,2026-W30,1,False,OUT-00105-A1
OUT-00106,outbound,India-France,PhonePe,P2M-QR,Android,2026-05-07,2500.0,success,13.4,drop_business_decline,18.6,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,business_decline,Corridor not live for this merchant category,32.0,2026-W19,1,False,OUT-00106-A1
OUT-00107,outbound,India-Nepal,Bank-Native App,P2M-QR,iOS,2026-05-19,10000.0,success,7.2,success,7.9,success,9.7,success,12.0,success,9.6,converted,,,,46.4,2026-W21,1,False,OUT-00107-A1
OUT-00108,outbound,India-France,BHIM,P2P-Linkage,iOS,2026-05-24,50000.0,success,18.0,success,3.4,drop_user_abandon,11.1,not_reached,,not_reached,,dropped,quote_fx_acceptance,user_abandon,Rate/fee looked unclear or too high,32.5,2026-W21,1,False,OUT-00108-A1
