user_id,journey_type,source_country,onboarding_channel,traveller_type,device,date,trip_days,onboarding_status,onboarding_duration_sec,kyc_verification_status,kyc_verification_duration_sec,wallet_funding_status,wallet_funding_duration_sec,payment_p2m_status,payment_p2m_duration_sec,authentication_status,authentication_duration_sec,exit_refund_status,exit_refund_duration_sec,final_outcome,drop_stage,drop_reason_category,drop_reason_detail,total_time_minutes,cohort_week,attempt_number,is_repeat,attempt_id
IN-00011,inbound,UK,Airport Kiosk,NRI,Android,2026-05-02,10,success,4.9,success,41.0,drop_business_decline,18.4,not_reached,,not_reached,,not_reached,,dropped,wallet_funding,business_decline,Funding source not permitted under PPI norms,64.3,2026-W18,1,False,IN-00011-A1
IN-00012,inbound,Bhutan,Airport Kiosk,Student,iOS,2026-06-03,5,drop_business_decline,49.9,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,49.9,2026-W23,1,False,IN-00012-A1
IN-00013,inbound,UAE,Authorized Issuer App,Tourist,Android,2026-05-12,10,drop_user_abandon,67.6,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,67.6,2026-W20,1,False,IN-00013-A1
IN-00014,inbound,Nepal,Airport Kiosk,Business Traveller,iOS,2026-07-09,5,success,31.9,success,12.4,success,47.8,success,9.7,success,9.5,success,12.4,converted,,,,123.7,2026-W28,1,False,IN-00014-A1
IN-00015,inbound,UAE,Authorized Issuer App,Tourist,Android,2026-06-23,5,success,18.0,success,67.8,success,18.0,success,7.0,success,31.1,success,9.8,converted,,,,151.7,2026-W26,1,False,IN-00015-A1
IN-00016,inbound,Bhutan,Airport Kiosk,NRI,iOS,2026-07-07,5,drop_user_abandon,22.9,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,22.9,2026-W28,1,False,IN-00016-A1
IN-00017,inbound,UAE,Airport Kiosk,Tourist,Android,2026-06-02,14,success,42.7,success,21.4,drop_business_decline,3.7,not_reached,,not_reached,,not_reached,,dropped,wallet_funding,business_decline,Funding source not permitted under PPI norms,67.8,2026-W23,1,False,IN-00017-A1
IN-00018,inbound,UAE,Hotel Partner Onboarding,Tourist,Android,2026-06-21,7,success,10.6,success,12.9,success,44.7,success,11.8,success,9.1,success,41.5,converted,,,,130.6,2026-W25,1,False,IN-00018-A1
IN-00019,inbound,Bhutan,Hotel Partner Onboarding,Business Traveller,Android,2026-07-21,7,drop_technical_fail,21.4,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,21.4,2026-W30,1,False,IN-00019-A1
IN-00020,inbound,Mauritius,Airport Kiosk,Tourist,iOS,2026-06-14,5,drop_technical_fail,95.8,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,95.8,2026-W24,1,False,IN-00020-A1
IN-00021,inbound,UK,Airport Kiosk,Tourist,Android,2026-07-08,7,success,19.2,success,10.5,success,14.3,success,1.7,success,9.1,success,11.4,converted,,,,66.2,2026-W28,1,False,IN-00021-A1
IN-00022,inbound,UAE,Authorized Issuer App,Tourist,iOS,2026-06-30,3,success,14.7,drop_user_abandon,13.1,not_reached,,not_reached,,not_reached,,not_reached,,dropped,kyc_verification,user_abandon,Gave up after repeated scan failures,27.8,2026-W27,1,False,IN-00022-A1
IN-00023,inbound,Singapore,Authorized Issuer App,Business Traveller,iOS,2026-07-27,5,drop_business_decline,26.5,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,26.5,2026-W31,1,False,IN-00023-A1
IN-00024,inbound,Australia,Authorized Issuer App,NRI,Android,2026-07-01,3,drop_user_abandon,33.8,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,33.8,2026-W27,1,False,IN-00024-A1
IN-00025,inbound,UK,Airport Kiosk,Tourist,iOS,2026-06-17,21,success,47.0,success,9.1,success,23.2,success,8.8,success,7.0,success,34.8,converted,,,,129.9,2026-W25,1,False,IN-00025-A1
IN-00026,inbound,Sri Lanka,Airport Kiosk,Tourist,iOS,2026-07-09,7,drop_user_abandon,8.8,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,8.8,2026-W28,1,False,IN-00026-A1
IN-00027,inbound,Australia,Hotel Partner Onboarding,Tourist,Android,2026-05-14,21,drop_user_abandon,28.1,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,28.1,2026-W20,1,False,IN-00027-A1
IN-00028,inbound,Australia,Authorized Issuer App,NRI,iOS,2026-05-21,7,success,25.7,success,11.2,success,23.7,success,13.0,success,4.1,success,40.5,converted,,,,118.2,2026-W21,1,False,IN-00028-A1
IN-00029,inbound,Sri Lanka,Authorized Issuer App,Business Traveller,iOS,2026-07-09,10,drop_user_abandon,42.9,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,42.9,2026-W28,1,False,IN-00029-A1
IN-00030,inbound,Mauritius,Hotel Partner Onboarding,NRI,Android,2026-06-06,5,drop_business_decline,11.6,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,11.6,2026-W23,1,False,IN-00030-A1
IN-00031,inbound,UAE,Authorized Issuer App,Tourist,iOS,2026-06-06,5,success,6.5,drop_business_decline,52.3,not_reached,,not_reached,,not_reached,,not_reached,,dropped,kyc_verification,business_decline,Visa-type not supported / manual review reject,58.8,2026-W23,1,False,IN-00031-A1
IN-00032,inbound,Bhutan,Hotel Partner Onboarding,Tourist,iOS,2026-06-15,14,success,34.9,success,54.8,success,27.0,success,6.9,success,5.1,success,118.3,converted,,,,247.0,2026-W25,1,False,IN-00032-A1
IN-00033,inbound,USA,Airport Kiosk,Tourist,Android,2026-07-25,3,success,66.9,success,10.7,success,32.1,success,4.0,success,7.6,success,15.6,converted,,,,136.9,2026-W30,1,False,IN-00033-A1
IN-00034,inbound,Mauritius,Airport Kiosk,Business Traveller,Android,2026-05-28,7,success,19.7,success,39.9,drop_user_abandon,10.8,not_reached,,not_reached,,not_reached,,dropped,wallet_funding,user_abandon,Minimum load amount too high to trial,70.4,2026-W22,1,False,IN-00034-A1
IN-00035,inbound,Australia,Authorized Issuer App,Tourist,Android,2026-05-26,5,success,3.9,success,111.7,success,43.4,success,10.7,success,13.9,success,15.9,converted,,,,199.5,2026-W22,1,False,IN-00035-A1
IN-00036,inbound,Sri Lanka,Authorized Issuer App,Tourist,Android,2026-07-08,5,drop_user_abandon,43.1,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,43.1,2026-W28,1,False,IN-00036-A1
IN-00037,inbound,Australia,Authorized Issuer App,Tourist,Android,2026-05-21,5,drop_technical_fail,27.2,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,27.2,2026-W21,1,False,IN-00037-A1
IN-00038,inbound,Singapore,Authorized Issuer App,NRI,iOS,2026-07-15,10,drop_user_abandon,19.6,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,19.6,2026-W29,1,False,IN-00038-A1
IN-00039,inbound,Sri Lanka,Airport Kiosk,Tourist,Android,2026-07-01,14,success,55.9,success,34.5,success,37.5,success,4.6,success,18.1,success,58.9,converted,,,,209.5,2026-W27,1,False,IN-00039-A1
IN-00040,inbound,Sri Lanka,Airport Kiosk,Tourist,iOS,2026-07-01,5,drop_user_abandon,62.9,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,62.9,2026-W27,1,False,IN-00040-A1
IN-00041,inbound,UK,Airport Kiosk,Tourist,Android,2026-05-04,7,success,32.0,drop_user_abandon,12.0,not_reached,,not_reached,,not_reached,,not_reached,,dropped,kyc_verification,user_abandon,Gave up after repeated scan failures,44.0,2026-W19,1,False,IN-00041-A1
IN-00042,inbound,France,Authorized Issuer App,NRI,iOS,2026-06-11,3,success,12.6,success,50.0,success,20.8,success,1.6,success,3.0,success,32.3,converted,,,,120.3,2026-W24,1,False,IN-00042-A1
IN-00043,inbound,UAE,Authorized Issuer App,Tourist,Android,2026-07-14,3,drop_technical_fail,3.7,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,3.7,2026-W29,1,False,IN-00043-A1
IN-00044,inbound,UK,Airport Kiosk,Tourist,Android,2026-05-21,5,success,66.3,success,39.0,success,5.9,success,2.0,success,3.4,success,17.8,converted,,,,134.4,2026-W21,1,False,IN-00044-A1
IN-00045,inbound,Nepal,Authorized Issuer App,NRI,iOS,2026-06-30,14,drop_technical_fail,11.1,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,11.1,2026-W27,1,False,IN-00045-A1
IN-00046,inbound,Australia,Airport Kiosk,Tourist,Android,2026-06-02,7,drop_business_decline,37.4,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,37.4,2026-W23,1,False,IN-00046-A1
IN-00047,inbound,UK,Authorized Issuer App,NRI,Android,2026-07-05,5,drop_technical_fail,56.5,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,56.5,2026-W27,1,False,IN-00047-A1
IN-00048,inbound,Sri Lanka,Hotel Partner Onboarding,Business Traveller,Android,2026-07-02,10,success,16.8,success,106.1,success,13.0,success,3.3,success,9.0,success,63.6,converted,,,,211.8,2026-W27,1,False,IN-00048-A1
IN-00049,inbound,Sri Lanka,Airport Kiosk,Student,iOS,2026-05-08,10,drop_user_abandon,13.5,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,13.5,2026-W19,1,False,IN-00049-A1
IN-00050,inbound,Bhutan,Hotel Partner Onboarding,Tourist,iOS,2026-06-06,21,success,72.1,success,41.6,success,15.2,success,4.5,success,5.2,success,25.5,converted,,,,164.1,2026-W23,1,False,IN-00050-A1
IN-00051,inbound,Singapore,Airport Kiosk,Tourist,Android,2026-06-05,7,success,44.7,drop_business_decline,25.2,not_reached,,not_reached,,not_reached,,not_reached,,dropped,kyc_verification,business_decline,Visa-type not supported / manual review reject,69.9,2026-W23,1,False,IN-00051-A1
IN-00052,inbound,Nepal,Authorized Issuer App,Business Traveller,iOS,2026-07-17,5,success,22.5,drop_user_abandon,33.8,not_reached,,not_reached,,not_reached,,not_reached,,dropped,kyc_verification,user_abandon,Gave up after repeated scan failures,56.3,2026-W29,1,False,IN-00052-A1
IN-00053,inbound,Australia,Airport Kiosk,Student,Android,2026-06-29,3,drop_technical_fail,21.6,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,21.6,2026-W27,1,False,IN-00053-A1
IN-00054,inbound,Nepal,Authorized Issuer App,Tourist,iOS,2026-06-28,5,success,29.4,success,17.7,success,10.2,success,6.4,success,6.9,drop_technical_fail,78.8,dropped,exit_refund,technical_fail,Refund automation failed to trigger on trip-end,149.4,2026-W26,1,False,IN-00054-A1
IN-00055,inbound,USA,Airport Kiosk,Tourist,iOS,2026-06-06,3,success,18.5,success,51.4,drop_user_abandon,15.5,not_reached,,not_reached,,not_reached,,dropped,wallet_funding,user_abandon,Minimum load amount too high to trial,85.4,2026-W23,1,False,IN-00055-A1
IN-00056,inbound,UK,Airport Kiosk,Business Traveller,iOS,2026-05-03,5,success,67.0,success,28.5,success,12.8,success,9.4,success,9.8,success,8.7,converted,,,,136.2,2026-W18,1,False,IN-00056-A1
IN-00057,inbound,Nepal,Airport Kiosk,Tourist,Android,2026-05-28,14,drop_business_decline,44.2,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,44.2,2026-W22,1,False,IN-00057-A1
IN-00058,inbound,USA,Authorized Issuer App,Business Traveller,Android,2026-07-03,5,success,56.3,success,28.1,success,10.7,success,18.5,success,23.0,success,75.9,converted,,,,212.5,2026-W27,1,False,IN-00058-A1
IN-00059,inbound,USA,Authorized Issuer App,NRI,Android,2026-05-02,21,drop_user_abandon,59.9,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,59.9,2026-W18,1,False,IN-00059-A1
IN-00060,inbound,Mauritius,Authorized Issuer App,Student,Android,2026-05-02,3,success,22.3,success,58.2,success,24.9,success,4.2,success,13.1,success,4.4,converted,,,,127.1,2026-W18,1,False,IN-00060-A1
IN-00061,inbound,USA,Authorized Issuer App,Tourist,Android,2026-07-03,7,success,18.9,drop_business_decline,34.5,not_reached,,not_reached,,not_reached,,not_reached,,dropped,kyc_verification,business_decline,Visa-type not supported / manual review reject,53.4,2026-W27,1,False,IN-00061-A1
IN-00062,inbound,UAE,Airport Kiosk,Tourist,Android,2026-05-18,10,drop_business_decline,17.4,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,17.4,2026-W21,1,False,IN-00062-A1
IN-00063,inbound,UK,Hotel Partner Onboarding,NRI,iOS,2026-06-27,5,drop_user_abandon,31.3,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,31.3,2026-W26,1,False,IN-00063-A1
IN-00064,inbound,Mauritius,Airport Kiosk,Tourist,Android,2026-05-04,14,drop_technical_fail,18.8,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,18.8,2026-W19,1,False,IN-00064-A1
IN-00065,inbound,Singapore,Authorized Issuer App,Tourist,Android,2026-05-23,10,success,54.8,success,57.3,drop_technical_fail,12.5,not_reached,,not_reached,,not_reached,,dropped,wallet_funding,technical_fail,International card declined by issuer (cross-border block),124.6,2026-W21,1,False,IN-00065-A1
IN-00066,inbound,Mauritius,Authorized Issuer App,Tourist,iOS,2026-07-18,5,drop_business_decline,34.1,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,34.1,2026-W29,1,False,IN-00066-A1
IN-00067,inbound,Mauritius,Authorized Issuer App,Business Traveller,iOS,2026-07-05,3,success,42.5,success,30.8,success,19.4,success,13.6,success,3.4,success,5.7,converted,,,,115.4,2026-W27,1,False,IN-00067-A1
IN-00068,inbound,UAE,Hotel Partner Onboarding,Tourist,Android,2026-06-06,7,drop_technical_fail,44.0,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,44.0,2026-W23,1,False,IN-00068-A1
IN-00069,inbound,Australia,Authorized Issuer App,Student,Android,2026-06-09,14,drop_business_decline,8.3,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,8.3,2026-W24,1,False,IN-00069-A1
IN-00070,inbound,UK,Authorized Issuer App,Tourist,iOS,2026-05-18,10,success,67.8,success,11.6,success,42.0,success,5.4,success,1.4,success,11.8,converted,,,,140.0,2026-W21,1,False,IN-00070-A1
IN-00071,inbound,Nepal,Authorized Issuer App,Tourist,iOS,2026-07-13,7,success,10.0,success,104.5,success,51.2,success,13.9,success,15.2,success,71.5,converted,,,,266.3,2026-W29,1,False,IN-00071-A1
IN-00072,inbound,Sri Lanka,Authorized Issuer App,Tourist,Android,2026-07-28,7,drop_business_decline,28.9,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,28.9,2026-W31,1,False,IN-00072-A1
IN-00073,inbound,Sri Lanka,Hotel Partner Onboarding,NRI,iOS,2026-07-10,5,drop_business_decline,51.7,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,51.7,2026-W28,1,False,IN-00073-A1
IN-00074,inbound,UK,Airport Kiosk,NRI,Android,2026-06-24,10,success,46.6,success,54.5,success,13.1,drop_user_abandon,2.1,not_reached,,not_reached,,dropped,payment_p2m,user_abandon,"App not localized, hesitated at checkout",116.3,2026-W26,1,False,IN-00074-A1
IN-00075,inbound,UAE,Authorized Issuer App,Tourist,Android,2026-05-06,3,success,1.1,drop_user_abandon,93.6,not_reached,,not_reached,,not_reached,,not_reached,,dropped,kyc_verification,user_abandon,Gave up after repeated scan failures,94.7,2026-W19,1,False,IN-00075-A1
IN-00076,inbound,Bhutan,Airport Kiosk,Tourist,Android,2026-06-11,5,drop_technical_fail,48.4,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,48.4,2026-W24,1,False,IN-00076-A1
IN-00077,inbound,France,Authorized Issuer App,NRI,Android,2026-07-21,5,success,7.5,success,31.2,success,33.3,success,10.9,success,2.8,drop_technical_fail,10.8,dropped,exit_refund,technical_fail,Refund automation failed to trigger on trip-end,96.5,2026-W30,1,False,IN-00077-A1
IN-00078,inbound,UK,Authorized Issuer App,Tourist,Android,2026-07-07,7,success,2.2,success,78.7,success,6.8,success,0.2,success,10.1,success,6.0,converted,,,,104.0,2026-W28,1,False,IN-00078-A1
IN-00079,inbound,Bhutan,Airport Kiosk,Tourist,Android,2026-06-04,10,drop_business_decline,123.8,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,123.8,2026-W23,1,False,IN-00079-A1
IN-00080,inbound,Singapore,Hotel Partner Onboarding,Tourist,Android,2026-05-01,3,drop_business_decline,66.1,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,66.1,2026-W18,1,False,IN-00080-A1
IN-00081,inbound,Bhutan,Authorized Issuer App,Tourist,iOS,2026-07-10,7,drop_technical_fail,93.2,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,93.2,2026-W28,1,False,IN-00081-A1
IN-00082,inbound,UK,Authorized Issuer App,Business Traveller,iOS,2026-05-01,7,success,25.7,success,73.9,success,4.1,success,5.2,success,3.5,drop_technical_fail,25.9,dropped,exit_refund,technical_fail,Refund automation failed to trigger on trip-end,138.3,2026-W18,1,False,IN-00082-A1
IN-00083,inbound,France,Airport Kiosk,NRI,iOS,2026-07-28,5,drop_technical_fail,35.2,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,35.2,2026-W31,1,False,IN-00083-A1
IN-00084,inbound,Australia,Hotel Partner Onboarding,Tourist,iOS,2026-07-23,7,drop_business_decline,34.2,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,34.2,2026-W30,1,False,IN-00084-A1
IN-00085,inbound,Singapore,Airport Kiosk,Student,iOS,2026-05-05,21,success,44.6,success,68.9,success,6.3,success,4.7,success,8.0,drop_technical_fail,38.7,dropped,exit_refund,technical_fail,Refund automation failed to trigger on trip-end,171.2,2026-W19,1,False,IN-00085-A1
IN-00086,inbound,Bhutan,Authorized Issuer App,Tourist,iOS,2026-06-08,7,drop_user_abandon,15.8,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,15.8,2026-W24,1,False,IN-00086-A1
IN-00087,inbound,Australia,Airport Kiosk,NRI,Android,2026-06-27,7,success,13.0,success,45.4,success,19.0,success,14.9,success,19.1,success,14.7,converted,,,,126.1,2026-W26,1,False,IN-00087-A1
IN-00088,inbound,Singapore,Authorized Issuer App,Tourist,iOS,2026-07-14,5,success,24.4,success,35.8,success,26.3,success,6.1,success,1.4,success,4.7,converted,,,,98.7,2026-W29,1,False,IN-00088-A1
IN-00089,inbound,Nepal,Airport Kiosk,Tourist,Android,2026-06-24,7,success,26.9,success,45.5,success,18.1,success,19.6,success,22.9,success,42.3,converted,,,,175.3,2026-W26,1,False,IN-00089-A1
IN-00090,inbound,UK,Authorized Issuer App,Student,Android,2026-06-07,7,drop_business_decline,16.4,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,16.4,2026-W23,1,False,IN-00090-A1
IN-00091,inbound,UAE,Authorized Issuer App,Business Traveller,iOS,2026-05-12,10,drop_user_abandon,51.3,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,51.3,2026-W20,1,False,IN-00091-A1
IN-00092,inbound,UAE,Authorized Issuer App,NRI,iOS,2026-07-10,7,success,15.9,success,33.6,success,4.4,success,3.2,success,7.8,success,23.8,converted,,,,88.7,2026-W28,1,False,IN-00092-A1
IN-00093,inbound,France,Authorized Issuer App,Business Traveller,Android,2026-05-19,7,drop_business_decline,56.2,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,56.2,2026-W21,1,False,IN-00093-A1
IN-00094,inbound,USA,Authorized Issuer App,Tourist,iOS,2026-05-18,5,drop_technical_fail,29.3,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,29.3,2026-W21,1,False,IN-00094-A1
IN-00095,inbound,Singapore,Hotel Partner Onboarding,NRI,Android,2026-06-20,10,success,34.3,success,33.5,success,14.6,success,13.0,drop_user_abandon,9.8,not_reached,,dropped,authentication,user_abandon,PIN format mismatch with home-market expectations,105.2,2026-W25,1,False,IN-00095-A1
IN-00096,inbound,USA,Airport Kiosk,Student,Android,2026-07-29,7,drop_user_abandon,40.4,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,40.4,2026-W31,1,False,IN-00096-A1
IN-00097,inbound,Australia,Airport Kiosk,Tourist,Android,2026-05-09,21,drop_business_decline,25.8,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,25.8,2026-W19,1,False,IN-00097-A1
IN-00098,inbound,Bhutan,Hotel Partner Onboarding,Tourist,iOS,2026-05-11,10,success,23.6,drop_user_abandon,45.8,not_reached,,not_reached,,not_reached,,not_reached,,dropped,kyc_verification,user_abandon,Gave up after repeated scan failures,69.4,2026-W20,1,False,IN-00098-A1
IN-00099,inbound,France,Hotel Partner Onboarding,NRI,Android,2026-07-25,5,success,4.0,success,32.2,success,16.6,success,1.5,success,13.0,success,13.3,converted,,,,80.6,2026-W30,1,False,IN-00099-A1
IN-00100,inbound,Mauritius,Authorized Issuer App,Tourist,Android,2026-07-19,14,success,22.6,success,9.7,success,6.7,success,9.6,success,15.8,success,4.1,converted,,,,68.5,2026-W29,1,False,IN-00100-A1
IN-00101,inbound,USA,Hotel Partner Onboarding,Student,Android,2026-05-08,7,success,28.2,success,37.5,drop_technical_fail,2.1,not_reached,,not_reached,,not_reached,,dropped,wallet_funding,technical_fail,International card declined by issuer (cross-border block),67.8,2026-W19,1,False,IN-00101-A1
IN-00102,inbound,Singapore,Airport Kiosk,Tourist,Android,2026-05-26,7,drop_technical_fail,16.9,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,16.9,2026-W22,1,False,IN-00102-A1
IN-00103,inbound,Nepal,Authorized Issuer App,NRI,iOS,2026-05-06,5,drop_technical_fail,18.3,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,technical_fail,International OTP delivery failure,18.3,2026-W19,1,False,IN-00103-A1
IN-00104,inbound,Singapore,Authorized Issuer App,Tourist,iOS,2026-07-07,7,success,15.5,success,3.4,success,40.6,success,14.1,success,11.5,success,16.9,converted,,,,102.0,2026-W28,1,False,IN-00104-A1
IN-00105,inbound,UAE,Authorized Issuer App,Tourist,Android,2026-07-12,10,success,27.2,success,40.6,drop_user_abandon,15.8,not_reached,,not_reached,,not_reached,,dropped,wallet_funding,user_abandon,Minimum load amount too high to trial,83.6,2026-W28,1,False,IN-00105-A1
IN-00106,inbound,Nepal,Authorized Issuer App,Student,iOS,2026-07-28,7,success,10.6,success,95.2,success,10.7,drop_technical_fail,1.3,not_reached,,not_reached,,dropped,payment_p2m,technical_fail,"Merchant unfamiliar with foreign-linked UPI, hesitated/declined",117.8,2026-W31,1,False,IN-00106-A1
