merchant_id,country,mcc_code,merchant_tier,acquirer_partner_id,terminal_type,qr_format,cross_border_enabled_date,staff_readiness_true,footfall_index,merchant_cohort_true
M_c60b22607b,FOREIGN,5999,T1,ACQ_03,DYNAMIC_QR,EMVCo,2025-01-27,0.727,1.52,M-1
M_cd5e6ffc40,FOREIGN,5812,T2,ACQ_01,DYNAMIC_QR,EMVCo,2024-10-20,0.633,8.06,M-4
M_6810440af2,FOREIGN,5411,T2,ACQ_04,DYNAMIC_QR,PROPRIETARY,2025-08-16,0.774,3.45,M-1
M_55ab5ab8f1,FOREIGN,5944,T3,ACQ_02,POS,EMVCo,,0.683,1.23,M-3
M_e18eef3f31,FOREIGN,8220,T2,ACQ_08,DYNAMIC_QR,EMVCo,,0.78,1.54,M-3
M_7001b5d0e8,IN,5309,T2,ACQ_06,POS,EMVCo,,0.874,1.98,M-3
M_309eebc3ba,FOREIGN,4111,T1,ACQ_07,DYNAMIC_QR,PROPRIETARY,2025-08-16,0.737,6.19,M-1
M_0780a740e7,FOREIGN,5999,T2,ACQ_01,STATIC_QR,EMVCo,2025-12-26,0.636,8.9,M-1
M_511a54b875,FOREIGN,8062,T3,ACQ_05,STATIC_QR,PROPRIETARY,2026-05-28,0.632,2.58,M-4
M_12121e68c3,IN,4111,T2,ACQ_06,POS,EMVCo,2026-03-25,0.651,2.37,M-4
M_fcb3a7ebbd,FOREIGN,5310,T1,ACQ_06,STATIC_QR,EMVCo,2025-06-16,0.605,1.23,M-4
M_257c95e7ff,FOREIGN,8099,T1,ACQ_04,POS,EMVCo,2024-10-15,0.549,2.52,M-1
M_abb9e12b20,FOREIGN,8099,T2,ACQ_04,STATIC_QR,EMVCo,2025-03-02,0.757,11.5,M-4
M_fb3bd792ee,FOREIGN,7991,T3,ACQ_01,ECOM_SDK,EMVCo,2025-09-11,0.632,3.1,M-1
M_e0a858759b,IN,7011,T2,ACQ_07,DYNAMIC_QR,EMVCo,2025-05-25,0.634,2.16,M-1
M_28361326f9,IN,5411,T3,ACQ_02,POS,EMVCo,2024-10-20,0.887,1.36,M-1
M_9489b062e1,IN,5944,T2,ACQ_07,DYNAMIC_QR,EMVCo,2026-06-28,0.871,7.63,M-5
M_8e17d8b1f7,IN,8099,T3,ACQ_06,DYNAMIC_QR,PROPRIETARY,,0.829,2.96,M-3
M_20657d4bbe,FOREIGN,7011,T2,ACQ_04,DYNAMIC_QR,PROPRIETARY,2025-10-09,0.686,0.95,M-1
M_909cbb384b,FOREIGN,7991,T2,ACQ_03,ECOM_SDK,EMVCo,,0.449,1.12,M-3
M_a760400667,FOREIGN,5944,T2,ACQ_02,ECOM_SDK,EMVCo,2024-11-11,0.589,4.29,M-2
M_c8d937b03f,FOREIGN,5309,T2,ACQ_02,POS,EMVCo,2026-01-17,0.57,2.58,M-4
M_7f28b8d834,FOREIGN,5300,T3,ACQ_02,ECOM_SDK,EMVCo,2025-10-01,0.565,7.04,M-4
M_008a55cb56,IN,5309,T3,ACQ_02,STATIC_QR,EMVCo,2025-05-28,0.902,1.19,M-4
M_1444a44d27,FOREIGN,5812,T3,ACQ_07,POS,PROPRIETARY,,0.956,3.92,M-3
M_cdef18fb2b,IN,5411,T2,ACQ_08,POS,PROPRIETARY,2025-12-30,0.67,3.28,M-4
M_d9c7d7da1d,FOREIGN,5941,T1,ACQ_04,DYNAMIC_QR,EMVCo,,0.699,3.25,M-3
M_84d942e0bd,IN,8099,T3,ACQ_05,DYNAMIC_QR,EMVCo,2026-06-15,0.957,3.61,M-1
M_7f31350b77,FOREIGN,5812,T2,ACQ_07,DYNAMIC_QR,PROPRIETARY,,0.368,3.87,M-3
M_3534a0b9fd,IN,5309,T1,ACQ_03,STATIC_QR,PROPRIETARY,2024-09-02,0.432,3.54,M-1
M_58cc1ee941,FOREIGN,8099,T2,ACQ_06,DYNAMIC_QR,EMVCo,,0.496,0.88,M-3
M_7fec0c3dc7,IN,5999,T3,ACQ_07,STATIC_QR,EMVCo,,0.489,5.97,M-3
M_2c6fca9636,FOREIGN,8062,T2,ACQ_02,STATIC_QR,EMVCo,,0.501,0.85,M-3
M_c8d7368a40,IN,5812,T1,ACQ_08,POS,EMVCo,2026-05-04,0.621,1.4,M-2
M_49eaed917b,FOREIGN,5411,T3,ACQ_02,DYNAMIC_QR,EMVCo,2026-02-16,0.566,4.9,M-1
M_371b55a152,FOREIGN,8220,T3,ACQ_07,STATIC_QR,PROPRIETARY,2024-08-15,0.796,4.33,M-1
M_40c95c3149,FOREIGN,5411,T3,ACQ_05,DYNAMIC_QR,EMVCo,,0.834,5.06,M-3
M_f40cb4dd48,FOREIGN,5999,T2,ACQ_05,STATIC_QR,EMVCo,2026-07-30,0.725,2.82,M-4
M_2accadd934,FOREIGN,5300,T1,ACQ_04,DYNAMIC_QR,EMVCo,2026-07-06,0.921,6.08,M-1
M_348d3eff7d,FOREIGN,5944,T2,ACQ_01,DYNAMIC_QR,EMVCo,,0.72,0.89,M-3
M_5f42246e6f,IN,7991,T1,ACQ_04,POS,EMVCo,2025-12-23,0.987,0.7,M-4
M_b4391812ab,FOREIGN,5309,T1,ACQ_03,POS,EMVCo,2025-02-09,0.668,2.83,M-2
M_f4fef91464,FOREIGN,5812,T3,ACQ_02,STATIC_QR,EMVCo,2025-05-17,0.86,2.29,M-4
M_71b020ebbb,IN,8062,T2,ACQ_01,DYNAMIC_QR,PROPRIETARY,2025-01-18,0.466,2.03,M-1
M_88be80f82d,FOREIGN,7991,T1,ACQ_02,STATIC_QR,EMVCo,2024-08-23,0.489,8.29,M-4
M_646d9bb713,FOREIGN,5999,T3,ACQ_08,DYNAMIC_QR,EMVCo,,0.401,1.3,M-3
M_78a063b6f6,FOREIGN,5812,T1,ACQ_04,DYNAMIC_QR,EMVCo,2026-07-30,0.942,8.03,M-1
M_cbc0d76adb,FOREIGN,5310,T2,ACQ_07,DYNAMIC_QR,EMVCo,2025-07-26,0.15,4.56,M-2
M_6dfb265742,IN,5411,T3,ACQ_03,STATIC_QR,EMVCo,2024-09-21,0.766,0.7,M-4
M_886e193b8a,FOREIGN,5999,T3,ACQ_03,STATIC_QR,EMVCo,2025-07-30,0.15,10.98,M-2
M_c504b6ba9e,FOREIGN,7011,T2,ACQ_01,DYNAMIC_QR,EMVCo,2026-03-12,0.253,0.75,M-2
M_ab089c6a45,FOREIGN,5300,T3,ACQ_05,DYNAMIC_QR,EMVCo,2025-05-20,0.65,0.8,M-2
M_8f0d1a097b,IN,8062,T2,ACQ_04,STATIC_QR,EMVCo,2025-06-23,0.976,5.39,M-1
M_cbbba4c744,IN,5309,T3,ACQ_02,DYNAMIC_QR,EMVCo,2025-10-31,0.544,2.86,M-1
M_eee392db58,IN,5411,T2,ACQ_08,STATIC_QR,EMVCo,2025-01-25,0.873,8.53,M-1
M_2d578640d4,FOREIGN,5411,T2,ACQ_08,STATIC_QR,EMVCo,2026-01-29,0.812,1.61,M-1
M_ad20de098a,FOREIGN,7011,T1,ACQ_07,DYNAMIC_QR,EMVCo,2026-03-22,0.872,2.88,M-4
M_15b292f17b,FOREIGN,5999,T2,ACQ_03,POS,EMVCo,2024-09-12,0.808,3.0,M-4
M_50df889269,IN,5999,T1,ACQ_05,DYNAMIC_QR,PROPRIETARY,2025-02-28,0.692,1.58,M-5
M_be656cec6a,FOREIGN,7011,T2,ACQ_04,DYNAMIC_QR,EMVCo,2025-04-12,0.432,2.81,M-2
M_124ccef6ac,FOREIGN,5310,T3,ACQ_02,DYNAMIC_QR,EMVCo,2025-10-23,0.458,5.13,M-2
M_ac8b23ea84,FOREIGN,5812,T1,ACQ_07,POS,EMVCo,2025-04-01,0.868,1.78,M-2
M_baee681919,FOREIGN,8062,T3,ACQ_05,DYNAMIC_QR,EMVCo,2024-12-31,0.372,1.81,M-4
M_01651e9502,FOREIGN,8099,T3,ACQ_01,STATIC_QR,EMVCo,2026-06-22,0.329,6.2,M-2
M_2caebba5a5,FOREIGN,5300,T1,ACQ_02,DYNAMIC_QR,EMVCo,2025-08-15,0.784,2.59,M-2
M_a34bd571f7,IN,5812,T2,ACQ_03,POS,EMVCo,2026-06-18,0.625,3.35,M-2
M_31d74da05e,FOREIGN,5411,T2,ACQ_02,DYNAMIC_QR,EMVCo,,0.823,3.62,M-3
M_d078767ad7,IN,8099,T1,ACQ_05,STATIC_QR,EMVCo,,0.91,3.55,M-3
M_dc4ca6e48d,IN,5411,T3,ACQ_08,POS,EMVCo,2025-01-30,0.888,1.27,M-1
M_917196113d,FOREIGN,4111,T2,ACQ_03,DYNAMIC_QR,EMVCo,2024-09-16,0.704,7.12,M-4
M_a526dc5250,FOREIGN,8099,T2,ACQ_05,ECOM_SDK,EMVCo,2026-03-14,0.396,0.78,M-2
M_12e0f96b18,FOREIGN,5941,T1,ACQ_03,POS,PROPRIETARY,2026-05-13,0.729,0.58,M-1
M_2bb6324d21,FOREIGN,5944,T3,ACQ_01,DYNAMIC_QR,EMVCo,2025-06-23,0.699,3.43,M-1
M_a0454192c8,FOREIGN,7991,T1,ACQ_07,POS,EMVCo,,0.73,5.84,M-3
M_b4f924abb2,FOREIGN,5300,T3,ACQ_03,STATIC_QR,EMVCo,2025-04-08,0.202,0.88,M-2
M_7b218a5335,FOREIGN,5310,T3,ACQ_08,DYNAMIC_QR,EMVCo,2026-02-20,0.71,7.7,M-4
M_6b6da82042,FOREIGN,5310,T3,ACQ_02,DYNAMIC_QR,EMVCo,,0.892,3.54,M-3
M_cee1ddad96,FOREIGN,4111,T1,ACQ_08,STATIC_QR,EMVCo,,0.71,2.03,M-3
M_9b9975a349,FOREIGN,4111,T2,ACQ_05,DYNAMIC_QR,EMVCo,2026-04-28,0.551,1.57,M-2
M_faaa03eec4,FOREIGN,5310,T2,ACQ_02,ECOM_SDK,EMVCo,,0.919,1.08,M-3
M_bc874b165a,IN,4111,T1,ACQ_02,DYNAMIC_QR,PROPRIETARY,,0.827,1.24,M-3
M_4d6bf704e4,FOREIGN,7011,T2,ACQ_06,DYNAMIC_QR,EMVCo,,0.612,1.1,M-3
M_3420b692f6,IN,4111,T3,ACQ_02,STATIC_QR,EMVCo,2026-05-05,0.554,0.82,M-4
M_9bf7f0aa86,FOREIGN,5310,T2,ACQ_08,POS,EMVCo,2025-06-24,0.754,5.82,M-4
M_31dfe49da5,FOREIGN,5310,T3,ACQ_03,STATIC_QR,EMVCo,2025-11-10,0.807,0.82,M-4
M_fa0acb338b,FOREIGN,7011,T1,ACQ_05,STATIC_QR,EMVCo,2025-05-14,0.375,2.22,M-2
M_cfd238f7cf,IN,5999,T3,ACQ_01,DYNAMIC_QR,EMVCo,,0.874,5.37,M-3
M_8e399f93e7,FOREIGN,5411,T2,ACQ_02,STATIC_QR,EMVCo,2025-08-11,0.837,5.33,M-1
M_535203eecf,FOREIGN,4111,T2,ACQ_05,STATIC_QR,EMVCo,2025-02-21,0.163,1.09,M-2
M_bb6f40c755,FOREIGN,5310,T2,ACQ_05,ECOM_SDK,EMVCo,2026-02-08,0.558,1.58,M-1
M_7a42e7ad14,IN,7991,T1,ACQ_03,DYNAMIC_QR,EMVCo,,0.792,5.46,M-3
M_f473d1b336,FOREIGN,7011,T2,ACQ_03,POS,EMVCo,,0.786,3.49,M-3
M_60d57436a3,IN,7011,T2,ACQ_08,STATIC_QR,EMVCo,2025-01-30,0.51,4.16,M-1
M_565e2bcf74,FOREIGN,8099,T2,ACQ_01,DYNAMIC_QR,EMVCo,2025-09-25,0.835,1.1,M-4
M_6b018b77ae,IN,8220,T2,ACQ_03,DYNAMIC_QR,PROPRIETARY,,0.542,3.17,M-3
M_3127828283,IN,5999,T3,ACQ_01,POS,EMVCo,,0.51,4.61,M-3
M_52323911cf,FOREIGN,5999,T2,ACQ_02,ECOM_SDK,EMVCo,2026-05-20,0.711,2.13,M-1
M_32fcbf8952,FOREIGN,5812,T3,ACQ_06,DYNAMIC_QR,PROPRIETARY,2025-04-14,0.864,3.87,M-1
M_03f6d480cd,FOREIGN,5411,T2,ACQ_06,DYNAMIC_QR,PROPRIETARY,2024-10-13,0.794,1.48,M-1
M_883c97cb21,IN,8099,T1,ACQ_07,DYNAMIC_QR,PROPRIETARY,2025-10-09,0.551,1.32,M-1
M_2709b0409d,IN,8062,T2,ACQ_08,ECOM_SDK,EMVCo,2026-06-09,0.664,6.25,M-1
M_e998af7fec,FOREIGN,8220,T1,ACQ_08,DYNAMIC_QR,PROPRIETARY,2026-07-17,0.745,5.44,M-4
M_8bb25d6662,FOREIGN,7991,T3,ACQ_02,ECOM_SDK,EMVCo,,0.92,1.59,M-3
M_17a91b6406,FOREIGN,5309,T2,ACQ_08,POS,EMVCo,2026-05-03,0.927,2.55,M-4
M_036aae75c6,FOREIGN,5812,T2,ACQ_05,DYNAMIC_QR,EMVCo,2024-09-18,0.58,4.41,M-1
M_58d16126d1,IN,7991,T2,ACQ_03,STATIC_QR,EMVCo,,0.482,1.58,M-3
M_2012bd74d7,FOREIGN,8220,T3,ACQ_04,POS,EMVCo,2024-10-27,0.695,2.89,M-4
M_ff36182c01,FOREIGN,8099,T2,ACQ_01,DYNAMIC_QR,EMVCo,2026-05-01,0.853,1.14,M-1
M_815f220e55,FOREIGN,5310,T2,ACQ_01,ECOM_SDK,EMVCo,2025-03-30,0.854,1.46,M-1
M_68649fcbef,IN,8099,T2,ACQ_06,DYNAMIC_QR,EMVCo,2025-12-26,0.444,6.94,M-2
M_bb59101744,FOREIGN,8099,T3,ACQ_01,ECOM_SDK,EMVCo,2024-12-28,0.8,4.97,M-1
M_85bf7d2cad,FOREIGN,5411,T2,ACQ_02,DYNAMIC_QR,PROPRIETARY,2025-01-04,0.772,2.59,M-1
M_0db4ae4d86,FOREIGN,5310,T3,ACQ_06,DYNAMIC_QR,EMVCo,2025-11-10,0.611,0.95,M-1
M_9a53c12be5,FOREIGN,5411,T2,ACQ_01,STATIC_QR,EMVCo,2024-09-11,0.791,1.94,M-4
M_9641b6fed3,FOREIGN,5411,T2,ACQ_02,STATIC_QR,PROPRIETARY,2026-07-14,0.287,1.76,M-2
M_15d52823b7,IN,5309,T2,ACQ_07,STATIC_QR,EMVCo,2024-08-27,0.15,3.66,M-2
M_ba87a475c3,IN,5941,T2,ACQ_04,DYNAMIC_QR,EMVCo,2026-02-27,0.15,2.97,M-2
M_d6689099f5,FOREIGN,5944,T2,ACQ_07,DYNAMIC_QR,EMVCo,2025-06-25,0.915,1.36,M-4
M_b225f2ecaa,FOREIGN,5411,T1,ACQ_05,DYNAMIC_QR,EMVCo,,0.944,4.07,M-3
M_3f322f1e02,IN,8099,T3,ACQ_02,ECOM_SDK,EMVCo,2026-04-09,0.884,8.3,M-1
M_6297a9215a,FOREIGN,5944,T2,ACQ_01,STATIC_QR,EMVCo,2026-04-09,0.83,3.64,M-1
M_6e07db9d7f,FOREIGN,5300,T3,ACQ_03,POS,EMVCo,2025-06-14,0.685,4.54,M-4
M_0b01506cbb,IN,5999,T3,ACQ_08,DYNAMIC_QR,EMVCo,2025-01-02,0.568,2.43,M-2
M_6d99030920,FOREIGN,5411,T3,ACQ_07,STATIC_QR,EMVCo,2025-07-26,0.454,5.43,M-2
M_7305f802ae,IN,5411,T2,ACQ_01,DYNAMIC_QR,EMVCo,2025-08-27,0.885,3.44,M-1
M_21bc2706da,FOREIGN,5411,T3,ACQ_06,DYNAMIC_QR,PROPRIETARY,2024-08-15,0.708,1.51,M-1
M_e413926623,FOREIGN,5309,T3,ACQ_03,STATIC_QR,PROPRIETARY,2025-03-26,0.561,2.46,M-2
M_c40c1a86a9,FOREIGN,5944,T2,ACQ_07,POS,EMVCo,,0.779,0.61,M-3
M_b93896ebbd,IN,5300,T2,ACQ_02,DYNAMIC_QR,EMVCo,,0.757,1.03,M-3
M_aae9b317bc,FOREIGN,5300,T3,ACQ_05,STATIC_QR,EMVCo,,0.673,0.59,M-3
M_3f69233aa7,FOREIGN,8062,T2,ACQ_06,DYNAMIC_QR,EMVCo,2026-07-27,0.658,2.17,M-4
M_1277e889d3,FOREIGN,5300,T2,ACQ_04,DYNAMIC_QR,EMVCo,,0.581,3.28,M-3
M_4b21995572,FOREIGN,5941,T2,ACQ_04,STATIC_QR,EMVCo,2025-02-17,0.449,0.41,M-2
M_f805dae50e,IN,8099,T2,ACQ_04,DYNAMIC_QR,EMVCo,2025-12-07,0.856,0.87,M-4
M_e46001f590,FOREIGN,5300,T2,ACQ_03,DYNAMIC_QR,EMVCo,2025-02-05,0.808,3.5,M-4
M_19ab9a7c85,FOREIGN,5411,T3,ACQ_08,STATIC_QR,PROPRIETARY,2025-11-23,0.715,4.71,M-1
M_068a64dd39,FOREIGN,4111,T2,ACQ_04,STATIC_QR,EMVCo,2024-11-16,0.65,0.61,M-1
M_4f8a82675d,FOREIGN,8099,T3,ACQ_01,POS,EMVCo,,0.605,7.06,M-3
M_8590333166,IN,5310,T2,ACQ_07,STATIC_QR,EMVCo,2024-11-01,0.776,4.06,M-1
M_21f166e226,FOREIGN,7991,T2,ACQ_03,DYNAMIC_QR,EMVCo,2024-08-15,0.867,4.83,M-4
M_9dd93a1672,IN,7011,T3,ACQ_03,POS,EMVCo,2025-04-08,0.956,2.07,M-4
M_eceeeced45,IN,5309,T2,ACQ_02,DYNAMIC_QR,EMVCo,2025-05-25,0.727,4.21,M-4
M_aeed0e952a,IN,7991,T2,ACQ_07,POS,EMVCo,2024-11-09,0.571,4.65,M-2
M_47c7dd200a,FOREIGN,5411,T3,ACQ_06,POS,EMVCo,2025-06-21,0.721,1.47,M-2
M_5e1ee57bb0,IN,8220,T2,ACQ_07,STATIC_QR,EMVCo,,0.488,1.1,M-3
M_b644908efc,FOREIGN,8062,T2,ACQ_04,POS,EMVCo,2024-09-18,0.572,2.6,M-1
M_ca8ee41789,FOREIGN,8220,T2,ACQ_06,STATIC_QR,EMVCo,2025-03-13,0.656,1.53,M-4
M_4475b0aa1f,FOREIGN,5300,T2,ACQ_04,DYNAMIC_QR,EMVCo,2026-06-28,0.744,0.62,M-4
M_2bed627dc4,FOREIGN,5812,T3,ACQ_02,DYNAMIC_QR,PROPRIETARY,2024-08-29,0.854,4.34,M-4
M_65b5243c46,FOREIGN,7011,T2,ACQ_05,DYNAMIC_QR,EMVCo,2025-11-15,0.615,6.4,M-4
M_543cb243ea,FOREIGN,8220,T2,ACQ_08,DYNAMIC_QR,PROPRIETARY,2025-05-26,0.15,1.4,M-2
M_c85a8f7d60,FOREIGN,8099,T2,ACQ_06,DYNAMIC_QR,EMVCo,2025-08-09,0.85,2.39,M-1
M_e1b3deebae,FOREIGN,5310,T3,ACQ_04,DYNAMIC_QR,EMVCo,2025-12-21,0.419,5.89,M-2
M_b8b78b5a09,IN,8220,T1,ACQ_04,POS,EMVCo,,0.732,2.43,M-3
M_0e25e6b93a,IN,5300,T2,ACQ_03,DYNAMIC_QR,PROPRIETARY,2024-11-10,0.628,3.88,M-4
M_4f89348348,FOREIGN,5411,T1,ACQ_04,POS,EMVCo,2026-05-21,0.878,2.31,M-1
M_4f29d731f0,IN,5310,T1,ACQ_05,POS,EMVCo,,0.785,6.87,M-3
M_d1036417be,IN,5999,T3,ACQ_01,POS,EMVCo,2026-06-20,0.864,2.03,M-1
