trip_id,user_id,direction,corridor_pair,purpose,start_date,end_date,party_size,budget_inr,is_first_trip_to_corridor
TRIP_29f63b4fe3,U_91f38ae6dc,OUT,IN_KH,PILGRIMAGE,2025-04-03,2025-04-10,3,13834.0,True
TRIP_6d12558e39,U_91f38ae6dc,OUT,IN_AE,BUSINESS,2025-10-05,2025-10-13,4,33978.0,True
TRIP_60ce015fee,U_91f38ae6dc,OUT,IN_NP,LEISURE,2025-10-16,2025-10-30,4,13355.0,True
TRIP_b4af86012a,U_1ac216b11d,OUT,IN_AE,BUSINESS,2026-03-24,2026-04-01,3,8508.0,True
TRIP_731d705c51,U_1ac216b11d,OUT,IN_AE,MEDICAL,2024-10-03,2024-10-10,2,10414.0,False
TRIP_bb6af2f6c1,U_baad3c2af9,OUT,OTHER_R2,LEISURE,2026-06-27,2026-07-07,2,19485.0,True
TRIP_91fe0ebe69,U_baad3c2af9,OUT,IN_BT,LEISURE,2026-03-21,2026-03-30,1,11730.0,True
TRIP_3167ef3f40,U_baad3c2af9,OUT,IN_AE,LEISURE,2025-11-03,2025-11-16,3,44669.0,True
TRIP_d9ea163b5f,U_baad3c2af9,OUT,IN_QA,EVENT,2025-04-23,2025-05-04,2,24017.0,True
TRIP_b89901d03f,U_aee726623f,OUT,IN_SG,EDUCATION,2026-06-09,2026-06-18,3,21995.0,True
TRIP_ac47230328,U_aee726623f,OUT,IN_QA,LEISURE,2025-02-17,2025-02-25,4,45226.0,True
TRIP_9fb780ff57,U_ad71a24056,OUT,IN_SG,LEISURE,2025-05-15,2025-05-26,2,12273.0,True
TRIP_35b691139e,U_ad71a24056,OUT,IN_AE,VFR,2024-10-21,2024-10-30,4,9997.0,True
TRIP_018602d090,U_ad71a24056,OUT,OTHER_R2,LEISURE,2025-01-08,2025-01-13,1,9384.0,True
TRIP_cb5a528bfd,U_630ad5817c,OUT,IN_SG,BUSINESS,2026-02-12,2026-02-18,4,8260.0,True
TRIP_f77067c48a,U_c1be4b15e7,OUT,IN_AE,BUSINESS,2025-07-12,2025-07-25,4,3170.0,True
TRIP_f4fd6cda3d,U_d906067867,OUT,OTHER_R2,LEISURE,2026-03-06,2026-03-14,1,6127.0,True
TRIP_039e0312af,U_d906067867,OUT,IN_NP,EVENT,2025-05-28,2025-05-30,3,7930.0,True
TRIP_2f3df55f2a,U_d906067867,OUT,IN_SG,MEDICAL,2025-04-26,2025-05-08,2,3598.0,True
TRIP_9f9012ef8f,U_d906067867,OUT,IN_NP,EDUCATION,2025-01-22,2025-01-28,4,22307.0,False
TRIP_74467ef699,U_d906067867,OUT,IN_MU,LEISURE,2025-07-15,2025-07-23,3,16003.0,True
TRIP_d8cca20392,U_47156a783e,OUT,IN_QA,TRANSIT,2025-04-09,2025-04-12,3,9070.0,True
TRIP_1cc3428df9,U_47156a783e,OUT,IN_NP,BUSINESS,2026-01-17,2026-01-27,4,5443.0,True
TRIP_0d1ab8bc36,U_28a245e63b,OUT,OTHER_R2,LEISURE,2024-08-21,2024-08-28,3,14327.0,True
TRIP_a76fc165d1,U_28a245e63b,OUT,IN_NP,EDUCATION,2026-04-20,2026-04-26,1,10250.0,True
TRIP_ec407b650e,U_28a245e63b,OUT,IN_AE,LEISURE,2026-06-12,2026-06-18,1,25080.0,True
TRIP_6fb275824d,U_31b29bb935,OUT,IN_QA,LEISURE,2025-05-19,2025-05-25,3,25637.0,True
TRIP_9494310240,U_d458aa6986,OUT,IN_NP,LEISURE,2025-09-25,2025-10-05,3,3892.0,True
TRIP_b22ffe5720,U_d458aa6986,OUT,OTHER_R2,EDUCATION,2025-09-18,2025-09-30,2,4523.0,True
TRIP_e960a16b0b,U_45962350af,OUT,IN_AE,LEISURE,2025-12-06,2025-12-19,3,24061.0,True
TRIP_54fb3ac679,U_95ea64c9a5,OUT,OTHER_R2,EVENT,2025-03-16,2025-03-19,2,4731.0,True
TRIP_b4d65b7793,U_e95b5f7b2a,OUT,IN_AE,MEDICAL,2026-07-01,2026-07-06,3,21786.0,True
TRIP_a4e4e4a83d,U_e95b5f7b2a,OUT,IN_NP,BUSINESS,2026-05-02,2026-05-09,2,11425.0,True
TRIP_09c997c568,U_3244b30a06,OUT,IN_AE,LEISURE,2025-04-23,2025-05-03,4,14214.0,True
TRIP_ddb450b4e4,U_3244b30a06,OUT,IN_SG,BUSINESS,2025-08-14,2025-08-20,2,30843.0,True
TRIP_367206b100,U_5dc7f0fae1,OUT,IN_MU,LEISURE,2026-03-27,2026-03-29,2,37315.0,True
TRIP_97ad976ab0,U_5dc7f0fae1,OUT,IN_AE,LEISURE,2026-05-14,2026-05-27,3,7607.0,True
TRIP_5da91fef9d,U_d507c95bd3,OUT,IN_SG,BUSINESS,2026-07-03,2026-07-11,1,18707.0,True
TRIP_e02a21cb86,U_d507c95bd3,OUT,IN_BT,LEISURE,2025-05-27,2025-06-08,1,17836.0,True
TRIP_63e470646a,U_d962412ca8,OUT,IN_FR,LEISURE,2025-04-19,2025-04-25,4,5334.0,True
TRIP_5f9db793b6,U_d962412ca8,OUT,IN_AE,LEISURE,2024-09-30,2024-10-10,2,7876.0,True
TRIP_aa84256635,U_756bffb3e0,OUT,IN_AE,EDUCATION,2025-05-06,2025-05-19,4,13206.0,True
TRIP_1dc23bcac9,U_0759548b57,OUT,OTHER_R2,LEISURE,2026-04-04,2026-04-10,3,5690.0,True
TRIP_45cf41d183,U_3004b8c7ce,OUT,IN_AE,BUSINESS,2024-12-07,2024-12-15,3,21387.0,True
TRIP_6bbf5f9a4f,U_3004b8c7ce,OUT,IN_SG,LEISURE,2026-01-20,2026-02-01,3,15619.0,True
TRIP_c7de085be9,U_f18af2ad07,OUT,OTHER_R2,BUSINESS,2024-10-29,2024-11-04,1,15468.0,True
TRIP_6c082e0e10,U_5b16691df9,OUT,IN_AE,LEISURE,2025-08-17,2025-08-30,1,11578.0,True
TRIP_b02d9ca8c1,U_5b16691df9,OUT,OTHER_R2,EVENT,2025-01-20,2025-01-24,3,44355.0,True
TRIP_933a49783e,U_6b76b4b20a,OUT,IN_QA,LEISURE,2025-03-29,2025-04-10,3,6189.0,True
TRIP_a31f8b4161,U_6b76b4b20a,OUT,OTHER_R2,LEISURE,2024-08-25,2024-09-03,4,8071.0,True
TRIP_807d24d850,U_01f2255829,OUT,OTHER_R2,EDUCATION,2025-08-04,2025-08-16,4,7309.0,True
TRIP_5518eff5d4,U_01f2255829,OUT,IN_AE,MEDICAL,2026-05-04,2026-05-11,4,8933.0,True
TRIP_b93430d2af,U_e6d85cc260,OUT,OTHER_R2,BUSINESS,2025-04-21,2025-04-30,3,2393.0,True
TRIP_736c5eb1d3,U_f8dbb91bd5,OUT,IN_NP,VFR,2026-03-06,2026-03-18,3,18374.0,True
TRIP_cd0b2686cc,U_f9280aaecf,OUT,IN_NP,TRANSIT,2025-07-26,2025-07-28,4,19296.0,True
TRIP_ef6c26637b,U_f9280aaecf,OUT,OTHER_R2,VFR,2026-01-27,2026-02-07,3,29058.0,True
TRIP_f903471394,U_f9280aaecf,OUT,IN_QA,VFR,2026-04-12,2026-04-26,2,18323.0,True
TRIP_fd431278fd,U_ffe0756d52,OUT,IN_LK,LEISURE,2025-02-25,2025-03-01,4,29333.0,True
TRIP_4d926071f6,U_ffe0756d52,OUT,IN_AE,PILGRIMAGE,2026-03-15,2026-03-23,3,22399.0,True
TRIP_e013d15b6a,U_fcb8cfba9a,OUT,IN_AE,MEDICAL,2026-05-16,2026-05-28,2,43896.0,True
TRIP_788e76359b,U_20f969819b,OUT,IN_MU,MEDICAL,2025-02-19,2025-02-23,1,11592.0,True
TRIP_1c26a35671,U_4286180589,OUT,IN_AE,LEISURE,2026-04-08,2026-04-22,2,7572.0,True
TRIP_423cbb53d9,U_4286180589,OUT,IN_NP,EVENT,2024-12-27,2025-01-02,4,17015.0,True
TRIP_78eca86fbd,U_561670e3e7,OUT,IN_AE,TRANSIT,2025-05-12,2025-05-23,2,11128.0,True
TRIP_e31e6a6db5,U_561670e3e7,OUT,IN_QA,BUSINESS,2024-08-24,2024-09-02,2,6571.0,True
TRIP_943e394716,U_561670e3e7,OUT,IN_AE,BUSINESS,2024-08-30,2024-09-09,1,21441.0,False
TRIP_38a061427c,U_d4f0a6e51a,OUT,IN_SG,LEISURE,2025-05-01,2025-05-04,3,5243.0,True
TRIP_0333fe921b,U_73576cd1bf,OUT,IN_BT,BUSINESS,2025-12-04,2025-12-08,3,15232.0,True
TRIP_f7a91ab686,U_520ea4082d,OUT,IN_AE,LEISURE,2025-06-27,2025-07-03,4,6706.0,True
TRIP_f10bed9829,U_520ea4082d,OUT,IN_AE,EVENT,2025-12-05,2025-12-10,3,22601.0,False
TRIP_a18ecf79ff,U_cbb4dcf4c0,OUT,IN_AE,MEDICAL,2026-03-17,2026-03-19,3,5655.0,True
TRIP_2bcd59fee2,U_cbb4dcf4c0,OUT,OTHER_R2,BUSINESS,2025-06-19,2025-07-02,3,17306.0,True
TRIP_8c4b3fa4bb,U_cbb4dcf4c0,OUT,IN_BT,BUSINESS,2025-03-16,2025-03-21,4,27221.0,True
TRIP_7076034ee7,U_9155ca0773,OUT,IN_AE,EDUCATION,2026-02-16,2026-02-20,3,6888.0,True
TRIP_9b6bf31316,U_9155ca0773,OUT,IN_AE,EDUCATION,2025-04-04,2025-04-13,1,4812.0,False
TRIP_9e0e495f49,U_9155ca0773,OUT,IN_MU,MEDICAL,2025-09-01,2025-09-08,4,13429.0,True
TRIP_56fda24e8c,U_9155ca0773,OUT,OTHER_R2,EDUCATION,2025-06-07,2025-06-16,2,43171.0,True
TRIP_2d1f13a93a,U_2ad34a3bf3,OUT,IN_QA,MEDICAL,2025-01-16,2025-01-24,3,20817.0,True
TRIP_945eaa913d,U_2ad34a3bf3,OUT,IN_FR,MEDICAL,2025-05-14,2025-05-22,2,2592.0,True
TRIP_a910ea7a0a,U_87fe12d322,OUT,IN_FR,MEDICAL,2026-01-29,2026-02-10,2,6037.0,True
TRIP_13682aa97d,U_76e4d2dc7b,OUT,IN_KH,MEDICAL,2025-03-03,2025-03-10,1,15692.0,True
TRIP_d7b96ca8c3,U_a8d3ffd489,OUT,IN_AE,BUSINESS,2025-05-01,2025-05-12,1,6746.0,True
TRIP_dfe37d03fc,U_076a8ec27b,OUT,IN_AE,BUSINESS,2026-02-06,2026-02-17,2,3735.0,True
TRIP_0b7a6e0c92,U_b822ba1d21,OUT,IN_AE,VFR,2026-02-05,2026-02-13,1,16641.0,True
TRIP_a6b50a86c2,U_b822ba1d21,OUT,IN_BT,TRANSIT,2024-09-24,2024-10-04,1,16773.0,True
TRIP_dde5baae6d,U_34a2d8055f,OUT,IN_AE,LEISURE,2025-02-15,2025-02-19,3,16645.0,True
TRIP_affec78bb1,U_49b44ddc0b,OUT,IN_AE,LEISURE,2025-04-22,2025-05-02,2,30275.0,True
TRIP_5012191085,U_49b44ddc0b,OUT,IN_AE,EDUCATION,2025-02-28,2025-03-03,2,6143.0,True
TRIP_5b67c7a920,U_52decfd3e5,OUT,IN_AE,LEISURE,2025-12-26,2025-12-29,4,4111.0,True
TRIP_10d8758530,U_1c30f113f4,OUT,OTHER_R2,BUSINESS,2025-02-25,2025-03-04,2,43320.0,True
TRIP_39abb68f97,U_1c30f113f4,OUT,IN_AE,EVENT,2025-02-07,2025-02-21,2,8359.0,True
TRIP_633d4a6d8e,U_3c32f77fb5,OUT,IN_SG,PILGRIMAGE,2024-10-20,2024-10-29,3,78416.0,True
TRIP_a59842ec19,U_3c32f77fb5,OUT,OTHER_R2,LEISURE,2025-11-22,2025-11-29,4,8309.0,True
TRIP_b80ab13597,U_2693468689,OUT,IN_AE,EVENT,2025-07-03,2025-07-08,4,12697.0,True
TRIP_b70659b7cf,U_2693468689,OUT,IN_AE,VFR,2025-08-06,2025-08-20,4,19573.0,False
TRIP_622ad51da7,U_5c97893a22,OUT,IN_AE,EDUCATION,2026-06-04,2026-06-15,3,9999.0,True
TRIP_6f91881298,U_5c97893a22,OUT,IN_LK,LEISURE,2025-08-10,2025-08-15,2,12427.0,True
TRIP_36d8ace6c1,U_dd0173036f,OUT,IN_SG,EDUCATION,2024-09-19,2024-09-21,2,31535.0,True
TRIP_bf976a8be6,U_dd0173036f,OUT,IN_AE,EDUCATION,2025-02-25,2025-03-03,2,25053.0,True
TRIP_7d4ad31b34,U_18646cffa8,OUT,IN_AE,VFR,2026-05-29,2026-06-11,2,8132.0,True
TRIP_dc82277776,U_18646cffa8,OUT,IN_AE,LEISURE,2025-02-10,2025-02-13,3,16005.0,True
TRIP_27e5c97c79,U_ce9f57ea4f,OUT,IN_MU,VFR,2026-01-29,2026-02-10,3,23921.0,True
TRIP_e20c205f1d,U_ce9f57ea4f,OUT,IN_AE,LEISURE,2026-03-19,2026-04-02,1,4077.0,True
TRIP_fec24aeeba,U_fd1c0e327f,OUT,OTHER_R2,MEDICAL,2025-01-29,2025-02-11,4,6693.0,True
TRIP_9de2c027e6,U_bbbd41cfcb,OUT,IN_NP,LEISURE,2025-12-24,2026-01-01,1,33586.0,True
TRIP_1ddbe56bca,U_bbbd41cfcb,OUT,IN_AE,LEISURE,2025-07-05,2025-07-10,3,17224.0,True
TRIP_0decca002d,U_2883c57cce,OUT,IN_AE,LEISURE,2026-06-17,2026-06-30,2,11874.0,True
TRIP_39e9a57de3,U_2883c57cce,OUT,IN_MU,LEISURE,2024-09-23,2024-10-03,1,19969.0,True
TRIP_45b30fdc18,U_2883c57cce,OUT,IN_SG,EVENT,2024-11-21,2024-11-24,4,15714.0,True
TRIP_d887b37dbe,U_99bf7c8fd7,OUT,IN_SG,BUSINESS,2024-11-05,2024-11-09,1,21613.0,True
TRIP_3c59e5bc1e,U_09f2bbe992,OUT,IN_AE,LEISURE,2025-12-21,2026-01-02,4,6044.0,True
TRIP_827c19d66f,U_09f2bbe992,OUT,IN_AE,LEISURE,2025-04-04,2025-04-12,2,9494.0,False
TRIP_c1c8cc9617,U_7ab1be4a05,OUT,IN_AE,LEISURE,2025-04-04,2025-04-12,1,21525.0,True
TRIP_28ec5fec34,U_7183f0f61c,OUT,IN_AE,EDUCATION,2025-01-02,2025-01-05,2,58450.0,True
TRIP_9c2f84d4ee,U_ffa0e2c7e7,OUT,IN_NP,EVENT,2026-03-13,2026-03-27,3,22737.0,True
TRIP_01cfcb89a4,U_11e8cbe40a,OUT,OTHER_R2,LEISURE,2025-06-11,2025-06-18,4,43715.0,True
TRIP_c92fffb1b7,U_6bfce08443,OUT,OTHER_R2,PILGRIMAGE,2024-09-24,2024-10-07,4,3364.0,True
TRIP_204d77c799,U_9248823a7d,OUT,IN_AE,VFR,2025-12-21,2026-01-02,3,10016.0,True
TRIP_4530935bb0,U_96eed4a1a2,OUT,IN_AE,BUSINESS,2026-03-18,2026-03-24,3,7446.0,True
TRIP_666429a8cb,U_3760d7b3ef,OUT,IN_FR,BUSINESS,2025-08-30,2025-09-10,2,41010.0,True
TRIP_64eb1d2541,U_3760d7b3ef,OUT,IN_AE,TRANSIT,2025-11-30,2025-12-12,4,49244.0,True
TRIP_43eabe269e,U_dfb4594836,OUT,IN_NP,PILGRIMAGE,2025-12-04,2025-12-17,3,32303.0,True
TRIP_6d176a3dad,U_27a829d547,OUT,IN_AE,LEISURE,2025-12-21,2025-12-25,2,5339.0,True
TRIP_228b4fe109,U_655fc54a13,OUT,IN_NP,LEISURE,2024-12-16,2024-12-30,3,5227.0,True
TRIP_ca7d4ae5f8,U_daced4479f,OUT,IN_SG,LEISURE,2025-06-02,2025-06-14,4,12410.0,True
TRIP_4017bcdea4,U_daced4479f,OUT,OTHER_R2,VFR,2024-09-19,2024-09-23,3,10026.0,True
TRIP_0bc1fa4012,U_ad11a86cfa,OUT,OTHER_R2,TRANSIT,2025-12-16,2025-12-19,1,11592.0,True
TRIP_81227ae97f,U_ad11a86cfa,OUT,IN_AE,PILGRIMAGE,2024-09-16,2024-09-18,3,6467.0,True
TRIP_30ca2aaf0b,U_15cd16d551,OUT,IN_SG,LEISURE,2025-02-04,2025-02-16,3,10587.0,True
TRIP_5f8bb5ec23,U_15cd16d551,OUT,IN_NP,EDUCATION,2026-05-30,2026-06-09,2,18183.0,True
TRIP_e78b84ce0a,U_024c5f6337,OUT,OTHER_R2,LEISURE,2025-10-15,2025-10-20,3,4155.0,True
TRIP_9e1069ec9b,U_aaef02e513,OUT,IN_BT,BUSINESS,2025-08-16,2025-08-20,1,191149.0,True
TRIP_5aa8a4d6f0,U_08e486c071,OUT,IN_AE,LEISURE,2026-06-26,2026-06-29,1,5858.0,True
TRIP_b9872f4eb2,U_ee84f99872,OUT,IN_NP,LEISURE,2024-09-10,2024-09-12,1,6805.0,True
TRIP_0fac515156,U_ee84f99872,OUT,IN_MU,LEISURE,2024-11-23,2024-12-02,2,2946.0,True
TRIP_98c8319373,U_ee84f99872,OUT,IN_SG,LEISURE,2025-03-29,2025-04-11,3,31586.0,True
TRIP_e0821ac0d9,U_ee84f99872,OUT,IN_NP,VFR,2025-07-15,2025-07-27,2,19722.0,False
TRIP_9f38cb0c20,U_494c350aaf,OUT,IN_LK,LEISURE,2025-08-01,2025-08-07,3,19514.0,True
TRIP_39bc360c51,U_494c350aaf,OUT,IN_AE,EDUCATION,2026-02-04,2026-02-17,3,11856.0,True
TRIP_7d1237e256,U_494c350aaf,OUT,IN_AE,VFR,2026-03-04,2026-03-14,3,33733.0,False
TRIP_d3c33154ba,U_be0745d681,OUT,IN_SG,EVENT,2025-03-30,2025-04-08,2,9603.0,True
TRIP_2fb76a1240,U_ebc0178046,OUT,IN_AE,LEISURE,2026-05-02,2026-05-13,2,9936.0,True
TRIP_4a5c7fdead,U_ebc0178046,OUT,IN_BT,BUSINESS,2024-12-18,2024-12-23,1,16084.0,True
TRIP_f44948be1c,U_87deaf9f48,OUT,IN_NP,LEISURE,2026-01-25,2026-01-30,1,5278.0,True
TRIP_37ed037730,U_87deaf9f48,OUT,OTHER_R2,LEISURE,2025-03-16,2025-03-19,3,2340.0,True
TRIP_1568b03911,U_87deaf9f48,OUT,IN_AE,EDUCATION,2025-12-24,2025-12-30,1,31026.0,True
TRIP_8a1e18f95b,U_961d2b241c,OUT,IN_AE,VFR,2025-02-21,2025-03-04,1,6682.0,True
TRIP_f4e1b994e8,U_8110382c31,OUT,IN_MU,PILGRIMAGE,2025-06-19,2025-06-22,3,15094.0,True
TRIP_4f05aa839b,U_8110382c31,OUT,IN_SG,LEISURE,2025-01-20,2025-01-27,2,36691.0,True
TRIP_e770d6807c,U_ac2df7bb76,OUT,IN_AE,TRANSIT,2025-10-07,2025-10-12,2,8293.0,True
TRIP_a355d660fe,U_937832af66,OUT,OTHER_R2,LEISURE,2025-05-27,2025-06-06,3,14106.0,True
TRIP_7435fb4f81,U_937832af66,OUT,IN_AE,BUSINESS,2025-10-30,2025-11-01,2,31019.0,True
TRIP_090f96cf1b,U_937832af66,OUT,IN_AE,VFR,2025-03-14,2025-03-21,1,6664.0,True
TRIP_89fc08942b,U_15217cf805,OUT,IN_AE,LEISURE,2024-09-08,2024-09-11,1,54983.0,True
TRIP_9bc6414802,U_15217cf805,OUT,OTHER_R2,LEISURE,2026-02-16,2026-02-18,3,3533.0,True
TRIP_9f155a1df8,U_15217cf805,OUT,IN_AE,BUSINESS,2026-01-30,2026-02-07,3,73779.0,False
TRIP_7aac5f0a82,U_4c1ade7a07,OUT,IN_AE,LEISURE,2025-06-28,2025-07-02,4,10205.0,True
TRIP_0fceeba532,U_4c1ade7a07,OUT,IN_FR,EDUCATION,2025-10-11,2025-10-21,3,5108.0,True
TRIP_4bf7f402cd,U_12147192e7,OUT,OTHER_R2,LEISURE,2025-09-01,2025-09-09,4,36437.0,True
TRIP_73196d94a5,U_12147192e7,OUT,IN_AE,LEISURE,2026-07-06,2026-07-13,1,23423.0,True
TRIP_05620416c0,U_12147192e7,OUT,OTHER_R2,LEISURE,2024-12-18,2024-12-31,4,12356.0,False
TRIP_d29bb55c67,U_52faf88166,OUT,IN_QA,LEISURE,2025-07-26,2025-07-31,4,49045.0,True
TRIP_6ff41784aa,U_52faf88166,OUT,IN_QA,BUSINESS,2025-09-12,2025-09-21,4,10922.0,False
TRIP_267bd3d894,U_52faf88166,OUT,OTHER_R2,EDUCATION,2024-11-30,2024-12-07,1,26956.0,True
TRIP_6976ff328a,U_5fc500ad74,OUT,IN_NP,LEISURE,2026-04-18,2026-04-25,2,23553.0,True
TRIP_893e15661f,U_8181334afa,OUT,IN_AE,LEISURE,2025-01-19,2025-01-30,2,4474.0,True
TRIP_d839a0d3b0,U_56da22a179,OUT,OTHER_R2,LEISURE,2025-02-02,2025-02-12,2,6842.0,True
